# ;;;;;;;;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-03 17:54:11
# ;;;;;;;;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Farstanäs;37155;Rural-Regional Background;17.63234;59.098385
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#precip_amount;precipitation amount;mm;2;-1
#precip_amount;precipitation_amount;mm;2;4257
#Ca++;calcium;mg.l-1;2;4263
#Cl-;chloride;mg.l-1;2;4260
#K+;potassium;mg.l-1;2;4266
#Mg++;magnesium;mg.l-1;2;4264
#Na+;sodium;mg.l-1;2;4265
#NH4+;ammonium;mgN.l-1;2;4262
#NO3-;nitrate;mgN.l-1;2;4261
#SO4--;sulphate;mgS.l-1;2;4259
#k;conductivity;uS.cm-1;2;4901
#pH;acidity(pH);pHunits;2;4258
#
Start;Slut;precip_amount (-1);precip_amount (4257);Ca++ (4263);Cl- (4260);K+ (4266);Mg++ (4264);Na+ (4265);NH4+ (4262);NO3- (4261);SO4-- (4259);k (4901);pH (4258)
2022-02-04 00:00;2022-03-08 00:00;;55.0;0.0900;0.690;0.0380;0.0400;0.380;0.141;0.197;0.100;8.30;5.21
2022-03-08 00:00;2022-04-04 00:00;;4.00;1.23;2.38;0.376;0.190;1.27;0.238;0.492;0.390;21.8;5.89
2022-04-04 00:00;2022-05-04 00:00;;21.0;1.31;0.360;0.0870;0.100;0.190;4.86;4.50;0.860;58.0;6.00
2022-05-04 00:00;2022-05-30 00:00;;23.0;0.280;0.510;0.414;0.0900;0.220;0.470;0.380;0.240;11.8;5.59
2022-05-30 00:00;2022-07-04 00:00;;48.0;0.200;0.270;0.355;0.0700;0.110;0.189;0.162;0.170;7.50;5.55
2022-07-04 00:00;2022-07-25 00:00;;26.0;0.110;0.250;0.140;0.0400;0.110;0.278;0.158;0.150;6.80;5.49
2022-07-25 00:00;2022-09-05 00:00;;51.0;0.400;0.450;0.214;0.0800;0.180;0.538;0.309;0.310;11.6;5.60
2022-09-05 00:00;2022-10-03 00:00;;37.0;0.220;0.460;0.0900;0.0600;0.230;0.147;0.198;0.150;8.70;5.26
2022-10-03 00:00;2022-11-07 00:00;;49.0;2.57;1.52;1.19;0.580;0.340;0.309;0.121;0.300;30.2;6.50
2022-11-07 00:00;2022-11-28 00:00;;51.0;0.0800;0.700;0.133;0.0500;0.360;0.219;0.280;0.240;13.0;4.87
2022-11-28 00:00;2023-01-09 00:00;;63.0;0.0800;0.810;0.162;0.0500;0.430;0.179;0.276;0.230;13.2;4.83
