Område;Bebyggelsetyp;År;Åldersgrupp;Summa
0 - Hela staden;befintlig bebyggelse;2034;6-9 år;30279,56184
0 - Hela staden;befintlig bebyggelse;2034;10-12 år;23578,56904
0 - Hela staden;befintlig bebyggelse;2034;13-15 år;26401,63065
0 - Hela staden;befintlig bebyggelse;2034;16-18 år;28130,94315
0 - Hela staden;befintlig bebyggelse;2034;19-24 år;64988,69636
0 - Hela staden;befintlig bebyggelse;2034;25-44 år;288954,5134
0 - Hela staden;befintlig bebyggelse;2034;45-64 år;250063,5827
0 - Hela staden;befintlig bebyggelse;2034;65-79 år;135682,2745
0 - Hela staden;befintlig bebyggelse;2034;80-w;61778,7562
0 - Hela staden;nybyggnation;2024;0 år;0
0 - Hela staden;nybyggnation;2024;1-5 år;0
0 - Hela staden;nybyggnation;2024;6-9 år;0
0 - Hela staden;nybyggnation;2024;10-12 år;0
0 - Hela staden;nybyggnation;2024;13-15 år;0
0 - Hela staden;nybyggnation;2024;16-18 år;0
0 - Hela staden;nybyggnation;2024;19-24 år;0
0 - Hela staden;nybyggnation;2024;25-44 år;0
0 - Hela staden;nybyggnation;2024;45-64 år;0
0 - Hela staden;nybyggnation;2024;65-79 år;0
0 - Hela staden;nybyggnation;2024;80-w;0
0 - Hela staden;nybyggnation;2025;0 år;167,3641553
0 - Hela staden;nybyggnation;2025;1-5 år;574,9376051
0 - Hela staden;nybyggnation;2025;6-9 år;269,1419182
0 - Hela staden;nybyggnation;2025;10-12 år;151,3827031
0 - Hela staden;nybyggnation;2025;13-15 år;131,0560648
0 - Hela staden;nybyggnation;2025;16-18 år;146,6010216
0 - Hela staden;nybyggnation;2025;19-24 år;860,9843413
0 - Hela staden;nybyggnation;2025;25-44 år;3642,641206
0 - Hela staden;nybyggnation;2025;45-64 år;877,7474998
0 - Hela staden;nybyggnation;2025;65-79 år;462,2154963
0 - Hela staden;nybyggnation;2025;80-w;89,19798828
0 - Hela staden;nybyggnation;2026;0 år;320,6212525
0 - Hela staden;nybyggnation;2026;1-5 år;1134,035334
0 - Hela staden;nybyggnation;2026;6-9 år;539,5644658
0 - Hela staden;nybyggnation;2026;10-12 år;302,0690432
0 - Hela staden;nybyggnation;2026;13-15 år;255,2315766
0 - Hela staden;nybyggnation;2026;16-18 år;259,534468
0 - Hela staden;nybyggnation;2026;19-24 år;1432,953167
0 - Hela staden;nybyggnation;2026;25-44 år;6641,039316
0 - Hela staden;nybyggnation;2026;45-64 år;1543,483311
0 - Hela staden;nybyggnation;2026;65-79 år;662,503192
0 - Hela staden;nybyggnation;2026;80-w;194,5946655
0 - Hela staden;nybyggnation;2027;0 år;478,2758019
0 - Hela staden;nybyggnation;2027;1-5 år;1772,692766
0 - Hela staden;nybyggnation;2027;6-9 år;838,0947519
0 - Hela staden;nybyggnation;2027;10-12 år;467,6042334
0 - Hela staden;nybyggnation;2027;13-15 år;391,0284951
0 - Hela staden;nybyggnation;2027;16-18 år;381,7430165
0 - Hela staden;nybyggnation;2027;19-24 år;2018,555157
0 - Hela staden;nybyggnation;2027;25-44 år;9869,389801
0 - Hela staden;nybyggnation;2027;45-64 år;2374,675691
0 - Hela staden;nybyggnation;2027;65-79 år;946,483441
0 - Hela staden;nybyggnation;2027;80-w;258,9308167
0 - Hela staden;nybyggnation;2028;0 år;677,2666812
0 - Hela staden;nybyggnation;2028;1-5 år;2581,575249
0 - Hela staden;nybyggnation;2028;6-9 år;1212,832912
0 - Hela staden;nybyggnation;2028;10-12 år;677,2718792
0 - Hela staden;nybyggnation;2028;13-15 år;562,2124023
0 - Hela staden;nybyggnation;2028;16-18 år;533,9700621
0 - Hela staden;nybyggnation;2028;19-24 år;2617,260008
0 - Hela staden;nybyggnation;2028;25-44 år;13780,97143
0 - Hela staden;nybyggnation;2028;45-64 år;3478,5079
0 - Hela staden;nybyggnation;2028;65-79 år;1426,149519
0 - Hela staden;nybyggnation;2028;80-w;579,8186051
0 - Hela staden;nybyggnation;2029;0 år;905,5397114
0 - Hela staden;nybyggnation;2029;1-5 år;3524,931351
0 - Hela staden;nybyggnation;2029;6-9 år;1660,769556
0 - Hela staden;nybyggnation;2029;10-12 år;922,557179
0 - Hela staden;nybyggnation;2029;13-15 år;759,7639775
0 - Hela staden;nybyggnation;2029;16-18 år;706,3256586
0 - Hela staden;nybyggnation;2029;19-24 år;3275,634349
0 - Hela staden;nybyggnation;2029;25-44 år;18182,51014
0 - Hela staden;nybyggnation;2029;45-64 år;4787,48985
0 - Hela staden;nybyggnation;2029;65-79 år;1982,415653
0 - Hela staden;nybyggnation;2029;80-w;910,0416598
0 - Hela staden;nybyggnation;2030;0 år;1157,646019
0 - Hela staden;nybyggnation;2030;1-5 år;4600,069657
0 - Hela staden;nybyggnation;2030;6-9 år;2179,140821
0 - Hela staden;nybyggnation;2030;10-12 år;1200,7371
0 - Hela staden;nybyggnation;2030;13-15 år;981,6876891
0 - Hela staden;nybyggnation;2030;16-18 år;893,7233354
0 - Hela staden;nybyggnation;2030;19-24 år;3968,609848
0 - Hela staden;nybyggnation;2030;25-44 år;23043,50616
0 - Hela staden;nybyggnation;2030;45-64 år;6305,396556
0 - Hela staden;nybyggnation;2030;65-79 år;2638,510278
0 - Hela staden;nybyggnation;2030;80-w;1272,567496
0 - Hela staden;nybyggnation;2031;0 år;1444,850923
0 - Hela staden;nybyggnation;2031;1-5 år;5845,667803
0 - Hela staden;nybyggnation;2031;6-9 år;2801,590289
0 - Hela staden;nybyggnation;2031;10-12 år;1536,113675
0 - Hela staden;nybyggnation;2031;13-15 år;1249,769083
0 - Hela staden;nybyggnation;2031;16-18 år;1117,580651
0 - Hela staden;nybyggnation;2031;19-24 år;4725,237393
0 - Hela staden;nybyggnation;2031;25-44 år;28508,29052
0 - Hela staden;nybyggnation;2031;45-64 år;8071,032494
0 - Hela staden;nybyggnation;2031;65-79 år;3309,972276
0 - Hela staden;nybyggnation;2031;80-w;1523,540008
0 - Hela staden;nybyggnation;2032;0 år;1734,898963
0 - Hela staden;nybyggnation;2032;1-5 år;7138,804355
0 - Hela staden;nybyggnation;2032;6-9 år;3486,340842
0 - Hela staden;nybyggnation;2032;10-12 år;1901,791277
0 - Hela staden;nybyggnation;2032;13-15 år;1540,723598
0 - Hela staden;nybyggnation;2032;16-18 år;1353,894671
0 - Hela staden;nybyggnation;2032;19-24 år;5411,673263
0 - Hela staden;nybyggnation;2032;25-44 år;33926,61374
0 - Hela staden;nybyggnation;2032;45-64 år;9973,318162
0 - Hela staden;nybyggnation;2032;65-79 år;4042,908495
0 - Hela staden;nybyggnation;2032;80-w;1759,845062
0 - Hela staden;nybyggnation;2033;0 år;2013,659811
0 - Hela staden;nybyggnation;2033;1-5 år;8439,840384
0 - Hela staden;nybyggnation;2033;6-9 år;4203,39287
0 - Hela staden;nybyggnation;2033;10-12 år;2291,815739
