Datum/Klockslag,Titel,Beskrivning
2023-03-29T15:00:48+02:00,Saneringsarbete i Torkladan på Kajgatan,"Efter branden i Torkladan på Kajgatan den 9 oktober förra året, då delar av byggnaden förstördes, ska nu saneringsarbete utföras på platsen. Arbetet kommer att påbörjas måndag den 3 april och beräknas pågå till och med maj månad."
2023-03-29T14:52:48+02:00,Detaljplan del av Lomma 34:1 m fl (Kommunhuskvarteret) nu ute på granskning,Ett förslag till ny detaljplan för del av Lomma 34:1 m fl (Kommunhuskvarteret) är nu ute på granskning. Från den 29 mars till och med den 30 april 2023 kan du lämna synpunkter på planförslaget.
2023-03-27T09:15:40+02:00,Avdelningschef för hemtjänsten rekryterad,"Nu är även tjänsten som avdelningschef för hemtjänsten tillsatt, efter att ansvaret för äldreomsorgen delats upp mellan särskilda boende och hemtjänsten."
2023-03-24T13:37:29+01:00,Säsongens första fall av fågelinfluensa i Skåne,I Kävlinge kommun har påvisad fågelinfluensa av H5N1-typ konstaterats. Det är samma virustyp som sedan tidigare cirkulerar i Sverige. Detta är första fallet av fågelinfluensa i tambesättning i Skåne under vintersäsongen 2022/2023. I övriga landet har en hobbybesättning drabbats.
2023-03-16T13:34:52+01:00,Energibalans för Lomma kommun,"Med hjälp av Energikontor Syd har vi för första gången tagit fram en energibalans. Energibalansen är en sammanställning av tillförsel, omvandling och användning av energi i kommunen och är ett underlag att arbeta vidare med i frågor om hur energisystemet i kommunen kan utvecklas över tid."
2023-03-15T14:03:16+01:00,Visning av synpunkter på lomma.se,Den 15 mars upphörde publiceringen av synpunkter och kommentarer i systemet för synpunktshantering på Lomma.se.
2023-03-13T12:01:52+01:00,Nu kan du boka ditt besök hos byggenheten digitalt!,"Varje tisdag har byggenheten Öppet hus på kommunhuset för frågor och funderingar om byggprojekt, strandskydd eller annat som rör byggenheten."
2023-03-08T13:49:44+01:00,Låna en elmätare och hitta energitjuvarna i ditt hem,Nu kan du låna en elmätare på biblioteken i Lomma och Bjärred. Du lånar med ditt lånekort från biblioteket och under en vecka kan du sedan utforska energianvändningen i ditt hem.
2023-03-06T16:01:05+01:00,Miljöenheten erbjuder utbildning om hygien och egenkontroll,"Miljöenheten i Lomma kommun planerar just nu för att anordna en kostnadsfri utbildningsdag om hygien och egenkontroll under hösten 2023. Detta gäller för de verksamheter som idag erbjuder, eller som funderar på att i framtiden erbjuda, behandling med stickande eller skärande instrument i Lomma kommun."
2023-03-03T12:32:57+01:00,Översyn av kommunens kontaktvägar,I samband med en översyn av kommunens kontaktvägar kommer visningen av kommunens synpunktshantering att ändras den 15 mars. Samtidigt tas kortnamnet LUKAS bort.
2023-03-03T08:49:32+01:00,Beslutat i kommunfullmäktige den 2 mars,Kommunfullmäktige hade sammanträde den 2 mars. Då beslutades bland annat att Lomma kommun köper mark i naturreservatet Augustenborg utanför Borgeby.
2023-02-28T09:35:19+01:00,Förläng­ning av uppehållstillstånd för dig från Ukraina,Nu kan du som har skydd enligt massflyktsdirektivet ansöka om förlängt uppehållstillstånd. Du ansöker via Migrationsverkets e-tjänst som är öppen fram till 4 mars 2023.
2023-02-24T09:52:00+01:00,Anmälan enligt lex Sarah till IVO,Socialnämnden har anmält en händelse inom särskilt boende enligt lex Sarah till Inspektionen för vård och omsorg (IVO).
2023-02-21T07:53:28+01:00,En äldreomsorg i utveckling,Äldreomsorgen i Lomma kommun drivs sedan några år helt i kommunal regi. Förvaltningschef Ajsela Music och socialnämndens ordförande Susanne Borgelius berättar om vad som hänt sedan övertagandet och vad som är på gång framöver.
2023-02-16T11:21:58+01:00,Senaste nytt från kommunstyrelsen den 15 februari,Kommunstyrelsen hade sammanträde den 15 februari. Här är en sammanfattning av några av ärendena som togs upp.  Protokoll   från sammanträdet publiceras inom kort.
2023-02-16T07:46:43+01:00,Ny chef för kulturskolan på plats,"Sedan den 1 februari är Karin Croné ny kulturskolechef i Lomma kommun. Karin kommer till en verksamhet med 20 lärare som erbjuder över 1 000 kursplatser i 32 olika ämnen. Vårens stora satsning blir föreställningen ""Havets fasa"" den 25-26 mars i Dansrotundan där ca 100 elever och 20 lärare medverkar."
2023-02-15T12:00:00+01:00,Avdelningschef för särskilt boende rekryterad,"Ansvaret för äldreomsorgen i Lomma kommun delas upp på två olika avdelningar, en avdelning med ansvar för särskilda boende och en för hemtjänsten. Tjänsten som avdelningschef för särskilt boende är nu tillsatt."
2023-02-14T13:16:22+01:00,Språkutveckling i förskolan,På Lerviks förskola arbetar de just nu med språkutveckling för stärka barnens självförtroende och tillit till den egna förmågan. Språk och kommunikation är en viktig del i barns utveckling.
2023-02-13T15:30:19+01:00,Välbesökt premiär för nya Långa bryggan,"I lördags, den 11 februari, samlades runt 250 personer för att vara med vid smygpremiären för nya Långa bryggan i Bjärred. Vädret bjöd på friska vindar och strålande sol och besökarna njöt av värmande kaffe och välsmakande snittar från restaurang Bjerred Saltsjöbad."
2023-02-07T11:13:30+01:00,Med barnen i fokus,Denna vecka uppmärksammar vi barnkonventionen genom att belysa det arbete som kommunen gör.
2023-02-06T11:00:00+01:00,Råd- och stödsamtal för dig med psykisk ohälsa,Påverkar din psykiska hälsa din vardag? Boendestödjarna inom öppenvården erbjuder stöd och vägledning.
2023-02-06T09:43:29+01:00,Lillevångens gruppbostad redo för inflyttning,Ombyggnaden av det nya gruppboendet på Lillevångsgatan i Lomma är nu klar och verksamheten har öppnat upp för inflyttning.
2023-02-03T11:03:09+01:00,Anmälan enligt lex Sarah till Inspektionen för vård och omsorg,Socialnämnden har anmält en händelse inom hemtjänsten enligt lex Sarah till Inspektionen för vård och omsorg.
2023-02-01T09:40:43+01:00,Bjärreds vångar engagerar,Samrådet för Bjärreds vångar etapp I avslutades 22 december 2022. Under samrådstiden inkom över hundra yttranden – de allra flesta från den engagerade allmänheten.
2023-01-27T12:18:14+01:00,Bjärreds vångar – nu påbörjar vi arbetet för etapp II,"Utbyggnaden av Bjärreds vångar kommer att ske i flera etapper, och parallellt med arbetet med etapp I för Bjärreds vångar drar nu Lomma kommun i gång med arbetet för etapp II."
2023-01-20T11:40:27+01:00,Vi svarar på frågor om bostad och integration,Är du en nyanländ som är bosatt i Lomma? Har du frågor om att söka bostad eller frågor som rör integration? Då är du välkommen att träffa oss i Lomma eller Bjärred.
2023-01-18T16:54:50+01:00,Så arbetar vi för en fortsatt trygg kommun,Lomma kommun kom på sjätte plats av 290 i öppna jämförelser för trygghet och säkerhet 2022. Lomma kommun har de senaste tio åren hamnat topp 10 bland landets tryggaste och säkraste kommuner. Men vad är det för arbete som ligger bakom och hur behåller vi vårt goda resultat?
2023-01-16T08:00:00+01:00,Är du orolig för ett barn eller vuxen?,"Om du misstänker att ett barn eller en vuxen far illa kan du kontakta kommunen och göra en anmälan, eller få råd om du känner dig osäker på om en anmälan bör göras eller inte."
2022-12-29T11:00:00+01:00,Råd och stöd för barn och ungdom,"Om du som barn eller ungdom är orolig, inte mår bra eller blir utsatt för hot, våld och kränkningar finns det olika saker du kan göra."
2022-12-23T11:00:00+01:00,Sociala jouren Syd – om du hamnar i akut läge,"Behöver du eller någon i din närhet akut hjälp och ärendet berör barn, våld i relationer eller missbruksproblematik, så kan Sociala jouren Syd ge råd och stöd till dess att kommunens socialkontor öppnar."
2022-12-22T10:02:46+01:00,Mycket hög nöjdhet med kommunens förskolor och skolor,Nu har vi hunnit djupdyka i den årliga kommunstatistiken från  Statistiska Centralbyråns (SCB) medborgarundersökning  . Några resultat som sticker ut både jämfört med tidigare år och nationellt är nöjdheten med våra förskolor och grundskolor.
2022-12-22T10:00:00+01:00,Var vaksam och motverka bedrägerier,"Det finns flera saker du kan göra för att minska risken att utsättas för bedrägerier. Exempelvis ska du inte lämna ut dina inloggningsuppgifter eller lösenord, särskilt inte via internet eller telefon."
2022-12-21T11:30:00+01:00,Augustenborg är nu naturreservat,Kommunfullmäktige i Lomma har tagit beslut om att skydda Augustenborg som naturreservat. Området som ligger nordväst om Borgeby har tidigare varit både grustäkt och fruktplantering. Här finns både skogs- och ängsmarker samt en del blötare partier. Denna mosaik skapar goda förutsättningar för såväl biologisk mångfald som friluftsliv. Nu finns möjligheten att på sikt återskapa många förlorade naturvärden.
2022-12-21T09:00:00+01:00,Våga visa dina tonåringar att du bryr dig,Juletid är tid för extra omtanke och att göra saker tillsammans. Visa omtanke om våra ungdomar genom att vara närvarande och visa intresse för vad som händer på fritiden.
2022-12-19T15:40:44+01:00,Nu är resultatet från medborgarundersökningen här,98 % tycker att Lomma kommun är en mycket eller ganska bra plats att bo på. Och resultatet kring hur ni upplever skola och förskola är högst i landet. Det är några av resultaten från Statistiska Centralbyråns (SCB) medborgarundersökning.
2022-12-15T16:53:38+01:00,Lomma kommuns digitala arbete i grundskolan uppmärksammas,Lomma kommun har tilldelats utmärkelsen Guldtrappan 2022. Vi får utmärkelsen för vårt fina samarbete mellan kommunens IT-avdelning och våra grundskolor samt den struktur för digital utveckling som byggts upp för grundskolan.
2022-12-15T07:00:00+01:00,Ny rutin för betalning av båtplatser och båtplatskö i Lomma,Under 2022 publicerades ett nytt system för båtplatser och båtplatskö i Lomma kommun. Du hittar hamnsidan via hamn.lomma.se.
2022-12-08T08:00:00+01:00,Bra att ha hemma vid ett längre strömavbrott,Kraftringen varnar för att läget i energisystemet blir mycket ansträngt den 9-18 december. Det finns en liten risk att elnätet stängs av under den perioden eller senare i vinter. Mest troligt är att det blir korta elavbrott. Men ifall det blir längre avbrott är det viktigt att vara förberedd.
2022-12-07T15:04:16+01:00,Så kan arbetsmarknadsteamet hjälpa,Är du långt ifrån arbete och behöver hjälp med att skriva ett CV eller ett personligt brev? Vill du veta mer om hur vi kan ge stöd? Välkommen till Mötesplats Centrum på Havsblick och träffa kommunens arbetsmarknadsteam den 12 och 19 december.
2022-12-07T12:31:33+01:00,Nya avgifter för skollokaler,Barn- och utbildningsnämnden har beslutat om nya avgifter för uthyrning av skollokaler. De nya avgifterna börjar gälla från årskiftet.
2022-12-05T15:54:08+01:00,Lomma kommun anmäler enligt lex Sarah,Lomma kommun har anmält en händelse inom särskilt boende enligt lex Sarah till Inspektionen för vård och omsorg.
2022-12-05T09:25:17+01:00,Ny tätortsport vid Habo Ljung Norra,"För att höja trafiksäkerheten och sänka medelhastigheten i Habo Ljung, anlägger vi nu en ny tätortsport (refug) vid Habo Ljung Norra, strax norr om korsningen Södra Västkustvägen/Lerbäcks väg."
2022-12-02T09:53:31+01:00,Beslutat i kommunfullmäktige den 1 december,Kommunfullmäktige hade sammanträde den 1 december. Då beslutades bland annat om vilka politiker som ska sitta i Lomma kommuns nämnder under mandatperioden.  Protokoll från mötet publiceras inom kort  .
2022-11-30T08:47:24+01:00,Årets kulturstipendiat utsedd,Kultur- och fritidsnämnden har beslutat att tilldela Melker Annas Lomma kommuns kulturstipendium 2022. Kulturstipendiet är på 20 000 kronor.
2022-11-28T17:10:45+01:00,Start för ny våtmark vid Löddesnäs,Med stöd av det EU-finansierade projektet LIFE Coast Adapt anläggs en våtmark vid Löddesnäs i Bjärred.
2022-11-28T14:47:05+01:00,Vid en kris får du information vid våra trygghetspunkter,"I Lomma kommun finns två trygghetspunkter. Detta är platser som aktiveras vid extraordinära händelser, till exempel omfattande strömavbrott eller en större kris som påverkar kommunen."
2022-11-25T09:27:48+01:00,Samråd av förslag till detaljplan för del Bjärreds 9:1 m.fl. i Bjärred (Bjärreds vångar etapp I),"Kommunstyrelsen har beslutat upprätta detaljplan för del av Bjärreds 9:1 med flera. Detaljplanens syfte är att pröva lämpligheten för bostäder, centrum, vårdboende, parkering, teknisk anläggning, gatumark och natur inom planområdet."
2022-11-24T22:19:57+01:00,Lättare att nå hemtjänsten i Bjärred,Hemtjänsten i Bjärred är indelad i två områden men har delat samma telefonnummer. För att öka tillgängligheten skapas nu två olika direktnummer.
2022-11-23T11:32:14+01:00,Lomma kommun anmäler en lex Sarah till Inspektionen för vård och omsorg,Lomma kommun har anmält en händelse inom särskilt boende enligt lex Sarah. Lex Sarah ar en del av det systematiska kvalitetsarbetet. Syftet med bestämmelserna är att verksamheten ska utvecklas och missförhållanden rättas till.
2022-11-22T14:43:56+01:00,Lomma kommuns arbete för att minska elförbrukningen i vinter,Det finns en risk för att elen i kortare perioder måste kopplas bort i vinter. Vi måste alla hjälpas åt att spara energi och Lomma kommun kommer att genomföra extra energibesparande åtgärder både på kort och lång sikt.
2022-11-22T09:29:40+01:00,Senaste nytt från kommunstyrelsen den 16 november,Kommunstyrelsen hade sammanträde den 16 november. Här är en sammanfattning av några av ärendena.  Protokoll från mötet publiceras inom kort  .
2022-11-22T08:30:00+01:00,Fokus på omvårdnad inom hemtjänsten när städ läggs över på entreprenad,"Som ett led i utvecklingsarbetet inom äldreomsorgen i Lomma kommun, kommer serviceuppdraget att läggas på entreprenad. Den 1 januari kommer städ och tvätt inom hemtjänst att utföras av en privat aktör."
2022-11-18T14:40:05+01:00,Nya Bjärehovskolan invigd!,"Fredagen den 18 november invigdes nya Bjärehovskolan i Bjärred. Byggnaden är totalt 3 500 kvadratmeter stor och rymmer 14 klassrum och fyra slöjdsalar, fördelat på två plan. Den 23 november blir det öppet hus."
2022-11-18T09:36:51+01:00,Nionde upplagan av Lärrapport färdig,"Lomma kommuns Lärrapport för 2022 är färdig. I rapporten presenteras måluppfyllelse, reflektion och vad som ska förbättras i våra för- och grundskolor."
2022-11-15T14:22:21+01:00,Helena blir ny samhällsbyggnadschef,"Tjänsten som samhällsbyggnadschef är nu tillsatt, det blir Helena Östling som blir ny förvaltningschef för samhällsbyggnadsförvaltningen."
2022-11-11T15:00:00+01:00,Beslutat i kommunfullmäktige den 10 november,Under kommunfullmäktiges möte den 10 november beslutades bland annat om budgeten för nästa år. Här är en sammanfattning av några av ärendena som kommunfullmäktige tog upp.  Protokoll från mötet publiceras inom kort  .
2022-11-11T12:12:20+01:00,Resultat polisens trygghetsmätning 2022,"Tack alla som svarade på Polisens årliga trygghetsmätning! Även i år visar resultatet att Lomma upplevs som en trygg kommun, även om buskörning med mopeder och nedskräpning kvarstår som områden att förbättra. Även oron för stölder av fordon har ökat."
2022-11-04T11:29:29+01:00,Han ser till att kulturgarantin blir av,Det är Pontus Örnstrands jobb att förverkliga Lomma kommuns kulturgaranti. Han ser till att alla barn varje år får ta del av minst en kulturupplevelse och han är själv med på samtliga föreställningar.
2022-11-02T11:06:24+01:00,Hållbar trädgård och utemiljö,Vad vill du lära dig mer om kring hållbara trädgårdar? Just nu pågår en undersökning där vi vill veta vad du skulle vilja lära dig mer om kring din trädgård eller utemiljö ur ett hållbarhetsperspektiv.
2022-11-01T12:57:45+01:00,Bättre bemötande genom forumteater,"Under oktober genomfördes en stor utbildningssatsning inom äldreomsorgen inom området bemötande. Genom att analysera händelser på scen, får man en möjlighet att förändra sitt eget och även andras beteende."
2022-10-21T13:54:35+02:00,Presentation om Bjärreds vångar,Tisdagen den 18 oktober hölls ett informationsmöte kring Bjärreds vångar i Bjärehovskolans matsal. Nu finns presentationen och en sammanställning av frågor och svar att läsa på lomma.se.
2022-10-21T13:47:37+02:00,Kraftigt försämrade budgetförutsättningar 2023-2024,"Kommunstyrelsen har behandlat förslag till budget för 2023 och plan för ekonomin 2024-2026.  Den oroliga omvärldssituationen innebär mycket osäkra budgetförutsättningar för Sveriges kommuner. Kraftigt ökade kostnader för energi, räntor och livsmedel samt höga övergångskostnader till nytt pensionsavtal påverkar Lomma kommuns ekonomiska situation främst under 2023 och 2024. Därefter förväntas förutsättningarna bli bättre."
2022-10-21T13:24:33+02:00,Senaste nytt från kommunstyrelsen den 19 oktober,Kommunstyrelsen hade sammanträde den 19 oktober. Här är en sammanfattning av några av ärendena. Budgeten för 2023 och framåt togs också upp under sammanträdet. Den kommunicerar vi om i en egen nyhet.
2022-10-19T17:07:25+02:00,Nya kommunfullmäktige på plats,"Den 17 oktober träffades den här mandatperiodens kommunfullmäktige för första gången. Ett helt nytt presidium leder sammanträdena, med Lena Wahlgren (M) som ny ordförande i spetsen. Lena Wahlgren är den första kvinnan på den positionen i Lomma kommuns historia."
2022-10-19T09:40:03+02:00,Stöd för anhöriga till personer med missbruk,Nu startar Öppenvårdens anhöriggrupp (CRAFT) åter för dig som har någon närstående som är beroende av alkohol eller narkotika.
2022-10-18T16:33:53+02:00,Lomma kommun anmäler en lex Maria till IVO,Lomma kommun har anmält en händelse till Inspektionen för vård och omsorg (IVO) enligt lex Maria.
2022-10-17T14:47:18+02:00,Volontär från Frankrike på fritidsklubbarna,"Under ett år kommer Océane Dommanget från Frankrike att delta i ett projekt för unga i Europa, på fritidsgården Centralen i Lomma."
2022-10-13T09:14:26+02:00,Sanering av Kajgatan efter branden i Lomma,Söndagen den 9 oktober uppstod en brand i en industribyggnad på Kajgatan i Lomma. Nu påbörjas saneringsarbetet och arbetet med att ta hand om den kvarvarande byggnaden.
2022-10-12T14:00:00+02:00,Ny e-tjänst för att söka bygglov digitalt,"Den 12 oktober byter Lomma kommun system för digital bygglovsansökning. Fördelen med det nya systemet är att det blir enklare för dig som sökande att göra rätt från start, oavsett om det gäller bygglov eller bygganmälan. Har du ett pågående ärende i Mittbygge kommer din ansökan och alla handlingar att sparas och handläggas av byggenheten enligt bygglovsprocessen."
2022-10-12T10:07:56+02:00,Lomma kommun anmäler enligt lex Sarah,Lomma kommun har anmält en händelse inom hemtjänsten enligt lex Sarah till Inspektionen för vård och omsorg.
2022-10-11T08:00:00+02:00,Mitt val – arbete med att göra valet mer tillgängligt,Inför valet har avdelningen för funktionsstöd arbetat med frågor om medbestämmanderätt och demokrati för alla.
2022-10-09T23:07:58+02:00,Brand i industribyggnad i Lomma söndag 9 okt,"Under söndagskvällen uppstod en brand en industribyggnad på Kajgatan i Lomma. Det var stor rökutveckling och alla i området uppmanades att gå inomhus och stänga dörrar, fönster och ventilation."
2022-10-06T07:30:00+02:00,Samråd av förslag till detaljplan för del av Fjelie 2:10 m fl i Flädie,Kommunstyrelsen har beslutat upprätta detaljplan för del av Fjelie 2:10 med flera. Detaljplanens syfte är att möjliggöra för anläggandet av ett stationsområde i Flädie.
2022-10-05T15:52:45+02:00,Planering kring gymnasieskolan i Lomma,"Lommas centrala delar står inför en spännande utveckling de kommande åren. I kvarteret där kommunhuset ligger idag planeras för ett nytt kommunhus och en egen gymnasieskola. Nu i höst pågår planering och förberedelser för gymnasieskolan i förvaltningen för utbildning, kost, kultur och fritid."
2022-10-05T09:52:23+02:00,Valresultaten fastställda,Den slutliga rösträkningen är nu klar och Länsstyrelsen har meddelat både resultat och mandatfördelning för kommunens nya fullmäktige.
2022-10-04T15:36:29+02:00,Lomma kommun prisas för arbete med elevhälsa,"Lomma kommun har blivit utsedd till ”Årets elevhälsoförbättrare”, av Elevhälsan.se. Priset riktar sig till våra medarbetare Malin Jisander och Åsa Bankert för deras arbete med ”HOPP” samt de digitala läroresorna som skapats i vår webbapp."
2022-10-03T11:28:32+02:00,Lomma kommun anmäler lex Maria till IVO,Lomma kommun har anmält en händelse till Inspektionen för vård och omsorg (IVO) enligt lex Maria.
2022-10-03T11:00:00+02:00,Senaste nytt från kommunstyrelsen den 28 september,"Delårsrapporten för årets första åtta månader är färdig. Rapporten visar att prognosen för årets resultat är 128 mnkr, vilket är drygt 69 miljoner kronor bättre än budget. De främsta anledningarna är en förbättrad skatteprognos samt realisationsvinster från tomtförsäljning och bostadsrätter."
2022-09-23T09:00:00+02:00,Om du inte mår bra som barn eller ungdom,"Om du som barn eller ungdom är orolig, inte mår bra eller blir utsatt för hot, våld och kränkningar finns det olika saker du kan göra."
2022-09-21T15:41:12+02:00,Heltid som norm,Nu införs projektet heltid som norm i kommunens verksamheter. Projektet innebär att alla tillsvidareanställda och visstidsanställda med månadsanställning ska erbjudas heltidsanställning.
2022-09-19T08:00:00+02:00,Strategi för arbetssätt vid kognitiv sjukdom / demenssjukdom,För att möta det ökade behovet inom demensvård har en strategi för arbetssätt vid misstänkt eller konstaterad kognitiv sjukdom/demenssjukdom tagits fram.
2022-09-16T14:41:17+02:00,Högst valdeltagande även i år!,"Stort TACK till alla som på olika sätt bidragit till genomförandet av de allmänna valen den 11 september. Även om valdeltagandet sjönk lite i landet, ligger fortfarande Lomma kommun i topp med högst antal röstande i riksdagsvalet."
2022-09-15T08:00:00+02:00,Ansökan om att etablera publika laddplatser är öppen,Nu kan aktörer som är intresserade av att sätta upp publika laddstolpar på kommunens parkeringsplatser lämna in sin intresseanmälan. Ta del av laddstrategin som innehåller bland annat villkor för att etablera laddplatser och förslag på platser som kommunen ser som lämpliga.
2022-09-12T15:30:07+02:00,En dag på förskolan,Vi lämnar barnen på morgonen och hämtar igen efter jobbet. Men hur ser en dag på förskolan egentligen ut? Vi hälsade på en av avdelningarna på Skeppets förskola i Lomma för att skapa oss en uppfattning.
2022-09-12T13:39:09+02:00,Preliminär mandatfördelning - kommunfullmäktige,Utifrån den preliminära rösträkningen har Valmyndigheten tagit fram en preliminär mandatfördelning för partierna i kommunfullmäktige.
2022-09-07T08:00:00+02:00,Strategi för att främja mer publik laddning av elfordon,Samhällsbyggnadsnämnden har antagit en strategi för hur Lomma kommun ska jobba med publik laddning av elfordon. Syftet är att främja att fler laddplatser anläggs i kommunen.
2022-09-07T08:00:00+02:00,Utbildning inom BPSD-registret ska ge bättre stöd för boende med demens,"För att bättre kunna bemöta personer med demensjukdomar används ett verktyg som heter BPSD-register, där man utgår från vilka symptom individen har."
2022-09-06T09:00:37+02:00,Nytt LIFE-projekt startar i Bjärred,Våtmarker i nära anslutning till kusten fyller många funktioner. Bland annat stödjer de flertalet ekosystemtjänster och fördröjer dagvattnet vid kraftiga regn. Dock har flera våtmarker försvunnit genom åren. Med stöd av det EU-finansierade projektet LIFE Coast Adapt ska en våtmark nu anläggas vid Löddesnäs i Bjärred.
2022-09-06T07:45:59+02:00,Miljömålsprogram ska driva det lokala miljöarbetet framåt,Kommunfullmäktige har tidigare beslutat att anta ett nytt miljömålsprogram som gäller för åren 2022-2028. Nu kan du ta del av hela miljömålsprogrammet här på lomma.se.
2022-09-05T13:00:00+02:00,Lomma kommun anmäler lex Maria till IVO,Lomma kommun har anmält två händelser till Inspektionen för vård och omsorg (IVO) enligt lex Maria.
2022-09-05T08:30:00+02:00,Nytt larmsystem på särskilda boenden,Ett nytt mer modernt larmsystem har installerats på kommunens särskilda boende.
2022-09-05T08:15:10+02:00,Förskollärare nominerade till pris för digital utveckling,"Lomma kommuns förskollärare Emmy Persson, Sara Eklund och Magdalena Norén har tagit fram en webbsida med tips, instruktioner och inspiration kring hur digitala verktyg kan användas i förskolan. Nu har de nominerats till utmärkelsen Guldäpplet för sitt arbete."
2022-09-02T09:00:00+02:00,Medicinskt ansvarig för rehabilitering,"För att kunna garantera att den hälso- och sjukvård som erbjuds inom kommunens vård och omsorg är god och säker finns det numera både en medicinskt ansvarig sjuksköterska (MAS) och en medicinskt ansvarig för rehabilitering, MAR."
2022-08-30T15:48:15+02:00,Efter dialogmötet den 24 augusti,Den 24 augusti bjöd Lomma kommun in till ett dialogmöte kring kommande gymnasieskola och nytt kommunhus i Lomma.
2022-08-26T16:08:26+02:00,Reform ska lyfta äldreomsorgen,Kommunfullmäktige har beslutat om en lokal äldreomsorgsreform i Lomma kommun. Satsningen innebär att medarbetarna i äldreomsorgen ges möjlighet att avsätta motsvarande i snitt fem timmar i veckan till kompetensutveckling. Syftet är att öka kvalitén och kontinuiteten i omsorgen och att erbjuda våra medarbetare ett mer hållbart och attraktivt arbete.
2022-08-26T10:30:18+02:00,Beslutat i kommunfullmäktige den 25 augusti,Kommunfullmäktige i Lomma kommun hade sammanträde den 25 augusti. Då beslutades bland annat att anta ett nytt miljömålsprogram och en reform som ska höja kompetensen och kvalitén i äldreomsorgen.  Protokoll från mötet hittar du inom kort här  .
2022-08-23T08:00:00+02:00,Är du orolig för ett barn eller vuxen?,"Om du misstänker att ett barn eller en vuxen far illa kan du kontakta kommunen och göra en anmälan, eller få råd om du känner dig osäker på om en anmälan bör göras eller inte."
2022-08-19T07:18:13+02:00,Mellanstadieskola invigd – nu är Pilängsområdet komplett,I samband med skolstarten den 18 augusti invigdes den nya mellanstadiebyggnaden på Pilängskolan i Lomma. Nu är hela ombyggnaden av skolområdet färdig och det finns en röd tråd från förskoleklass till årskurs 9.
2022-08-16T14:20:38+02:00,Historisk invigning av ny skola i Lomma,"Efter ett års byggnation står nu Lomma kommuns första grundsärskola klar (skolformen har den 1 juni 2023 bytt nam till anpassad grundskola). Linneaskolan välkomnar de nya eleverna och ska erbjuda hög kvalitet med stort fokus på lyhördhet för elevernas individuella behov. Idag hölls en invigning med politiker, skolpersonal, elever och deras anhöriga."
2022-08-09T13:35:39+02:00,Goda förutsättningar för småföretagande,Småföretagarnas Riksförbund kartlägger varje år förutsättningarna för små företag i landets kommuner. Lomma kommun hamnar i årets rankning på plats 22 av 290. Möjligheterna att livnära sig som småföretagare är med andra ord bland de bättre i landet.
2022-08-05T07:17:05+02:00,Fördjupad översiktsplan för Alnarp,Planerna på utvecklingen av Alnarp ska börja ta form. En fördjupad översiktsplan för området ska nu tas fram.
2022-07-25T11:36:58+02:00,Kommunala avfallsföreskrifter på remiss,"På grund av ny lagstiftning behöver de kommunala avfallsföreskrifterna justeras, med speciellt fokus på bygg- och rivingsavfall."
2022-07-21T08:00:00+02:00,Lämna synpunkter på vård och omsorg digitalt,"Har du eller någon du känner omsorg, hjälp eller stöd i din vardag från Lomma kommuns socialförvaltning? Du vet väl om att du kan lämna dina synpunkter, både positiva och negativa via ett digitalt formulär här på lomma.se?"
2022-07-20T14:03:35+02:00,Säkrare läkemedelsförvaring på särskilt boende,Digitala medicinskåp införs på kommunens särskilda boenden under hösten för att säkerställa hanteringen av läkemedel.
2022-07-19T13:28:02+02:00,Ny socialchef rekryterad,Tjänsten som ny socialchef i Lomma kommun är nu tillsatt. Det blir Ajsela Music som efterträder Emma Pihl i oktober.
2022-06-23T13:30:52+02:00,Lomma kommun lanserar en visselblåsarfunktion,Lomma kommun har nu en funktion för visselblåsare. I visselblåsarfunktionen kan du lämna rapport om misstanke om allvarliga missförhållanden i kommunens verksamheter.
2022-06-22T06:00:00+02:00,Lomma kommun har anmält en lex Sarah till Inspektionen för vård och omsorg,Lomma kommun har anmält en händelse inom särskilt boende enligt lex Sarah. Lex Sarah ar en del av det systematiska kvalitetsarbetet. Syftet med bestämmelserna är att verksamheten ska utvecklas och missförhållanden rättas till.
2022-06-18T11:59:51+02:00,Skippa fultvätten - och skona miljön från olja och gifter,Nu när sommaren är här är det många som passar på att göra sin bil lite extra fin. Vet du om att det sitter tungmetaller och andra giftiga ämnen på din bil som riskerar att hamna ute i naturen om du tvättar din bil på gatan?
2022-06-15T15:11:31+02:00,Fler cykelöverfarter på gång,För att öka trafiksäkerheten för cyklister har vi de senaste veckorna arbetat med att bygga nya cykelöverfarter på flera platser runt om i kommunen. Har du koll på vilka regler som gäller vid en cykelöverfart?
2022-06-15T13:27:54+02:00,Långa bryggan får utmärkelsen Blå Flagg,Långa bryggan i Bjärred har blivit utsedd till en av landets bästa badplatser.
2022-06-14T13:15:50+02:00,Positiva reaktioner på kurs i yrkessvenska,I veckan var det avslutning på kursen ”Yrkessvenska för personal inom äldreomsorgen”. Detta är en satsning som ska skapa bättre kommunikation mellan våra medarbetare och brukarna inom vården.
2022-06-03T09:47:41+02:00,Beslutat i kommunfullmäktige den 2 juni,Kommunfullmäktige beslutade under sitt möte den 2 juni bland annat att avgifterna för bygglov ändras från och med nästa år.
2022-06-01T15:58:19+02:00,Mätning av företagsklimatet,"I Svenskt Näringslivs enkät om det lokala företagsklimatet får Lomma kommun 3,7 poäng på en sexgradig skala och placerar sig på plats 11 av de skånska kommunerna."
