"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Kristianstad (Söder)","totalt","totalt",2249
"Kristianstad (Tollarp)","totalt","totalt",3608
"Kristianstad (Viby-Rinkaby)","totalt","totalt",2148
"Kristianstad (Vilan-Hedentorp)","totalt","totalt",1878
"Kristianstad (Vä-Öllsjö-Ovesholm)","totalt","totalt",5422
"Kristianstad (Åhus centrum-Transval)","totalt","totalt",3154
"Kristianstad (Åhus norra)","totalt","totalt",5827
"Kristianstad (Åhus södra-Yngsjö)","totalt","totalt",2633
"Kristianstad (Önnestad-Färlöv-Skepparslöv)","totalt","totalt",5085
"Kristianstad (Östermalm)","totalt","totalt",3878
"Kristianstad (Österäng)","totalt","totalt",2454
"Kristianstad (Östra Kasern-Fäladen)","totalt","totalt",3720
"Simrishamn (Borrby)","totalt","totalt",901
"Simrishamn (Gärsnäs)","totalt","totalt",1090
"Simrishamn (Hammenhög)","totalt","totalt",990
"Simrishamn (Kivik)","totalt","totalt",2105
"Simrishamn (Sankt Olof)","totalt","totalt",1142
"Simrishamn (Simrishamn centrala)","totalt","totalt",1679
"Simrishamn (Simrishamn norra)","totalt","totalt",2114
"Simrishamn (Simrishamn sydvästra landsbygd)","totalt","totalt",2116
"Simrishamn (Simrishamn södra)","totalt","totalt",2341
"Simrishamn (Simrishamn västra)","totalt","totalt",1206
"Simrishamn (Skillinge)","totalt","totalt",974
"Simrishamn (Vik)","totalt","totalt",2416
"Ängelholm (Adolfsfält-Rebbelberga-Karlslund)","totalt","totalt",2291
"Ängelholm (Fridhem-Skörpinge-Kroneslätt)","totalt","totalt",2144
"Ängelholm (Havsbaden-Paletten-Danielslund)","totalt","totalt",2013
"Ängelholm (Hjärnarp-Margretetorp-Svenstorp)","totalt","totalt",1984
"Ängelholm (Kronotorp-Gamla Kungsgården-Nya Kungsgården)","totalt","totalt",2407
"Ängelholm (Kulltorp-Södra Utmarken-Epadalen)","totalt","totalt",2434
"Ängelholm (Munka Ljungby-Tåstarp-Toarp)","totalt","totalt",4015
"Ängelholm (Skälderviken-Pomona-Ärrarps ängar)","totalt","totalt",3473
"Ängelholm (Stationsområdet-Sockerbruket)","totalt","totalt",1924
"Ängelholm (Strövelstorp)","totalt","totalt",1486
"Ängelholm (Vejbystrand-Magnarp-Skepparkroken)","totalt","totalt",4311
"Ängelholm (Villan)","totalt","totalt",2126
"Ängelholm (Ängavången-Nyhem-Skörpabäcken)","totalt","totalt",2509
"Ängelholm (Ängelholm centrum)","totalt","totalt",4831
"Ängelholm (Ängelholm omland nordost)","totalt","totalt",4146
"Ängelholm (Ängelholm omland syd)","totalt","totalt",2174
"Hässleholm (Ballingslöv-Norra Sandby-Mannarp)","totalt","totalt",1297
"Hässleholm (Bjärnum västra)","totalt","totalt",1376
"Hässleholm (Bjärnum östra)","totalt","totalt",1583
"Hässleholm (Brunnshult-Emmaljunga-Tulatorp)","totalt","totalt",1218
"Hässleholm (Gulastorp-Sjunkaröd-Gumlösa)","totalt","totalt",1499
"Hässleholm (Hagsjö-Kråkeberga-Äskeberga)","totalt","totalt",905
"Hässleholm (Hågnarp-Mala-Vankiva)","totalt","totalt",1263
"Hässleholm (Häglinge-Norra Mellby-Kialt)","totalt","totalt",1555
"Hässleholm (Hässleholm centrum)","totalt","totalt",2078
"Hässleholm (Hässleholm-Bokalyckan)","totalt","totalt",1885
"Hässleholm (Hässleholm-Bokeberg)","totalt","totalt",1540
"Hässleholm (Hässleholm-Djupadal-Galgbacken)","totalt","totalt",1897
"Hässleholm (Hässleholm-Fredentorp)","totalt","totalt",1226
"Hässleholm (Hässleholm-Gulastorp-Röinge-Stoby)","totalt","totalt",1460
"Hässleholm (Hässleholm-Kristinehem)","totalt","totalt",1494
"Hässleholm (Hässleholm-Kärråkra-Gäddastorp)","totalt","totalt",2239
"Hässleholm (Hässleholm-Ljungdala)","totalt","totalt",1653
"Hässleholm (Hässleholm-Läreda)","totalt","totalt",1699
"Hässleholm (Hässleholm-Sjörröd-Finja)","totalt","totalt",2191
"Hässleholm (Hässleholm-Stattena)","totalt","totalt",1986
"Hässleholm (Hässleholm-Östervärn)","totalt","totalt",1453
"Hässleholm (Hästveda)","totalt","totalt",1819
"Hässleholm (Slättsjö-Röke-Öraholma)","totalt","totalt",1369
"Hässleholm (Strandböke-Västra Torup-Björkeberga)","totalt","totalt",1618
"Hässleholm (Sösdala)","totalt","totalt",1904
"Hässleholm (Tormestorp)","totalt","totalt",1166
"Hässleholm (Tyringe norra)","totalt","totalt",1634
"Hässleholm (Tyringe sydväst)","totalt","totalt",1518
"Hässleholm (Tyringe sydöst)","totalt","totalt",1703
"Hässleholm (Vinslöv centrala)","totalt","totalt",1977
"Hässleholm (Vinslöv norra)","totalt","totalt",1182
"Hässleholm (Vinslöv södra)","totalt","totalt",1127
"Hässleholm (Vittsjö)","totalt","totalt",1855
"Hylte (Drängsered-Kinnared-Brännögård)","totalt","totalt",1317
"Hylte (Hyltebruk norra)","totalt","totalt",1712
"Hylte (Hyltebruk södra)","totalt","totalt",2353
"Hylte (Långaryd-Landeryd)","totalt","totalt",1359
"Hylte (Rydöbruk-Femsjö)","totalt","totalt",1158
"Hylte (Torup)","totalt","totalt",1313
"Hylte (Unnaryd-Jälluntofta)","totalt","totalt",1252
"Halmstad (Alet-Mickedala-Rotorp)","totalt","totalt",5731
"Halmstad (Andersberg)","totalt","totalt",4778
"Halmstad (Snöstorp-Brogård)","totalt","totalt",3521
"Halmstad (Bäckagård centrum)","totalt","totalt",1863
"Halmstad (Söndrum-Eketånga)","totalt","totalt",3715
"Halmstad (Eldsberga-Simlångsdalen-Skedala)","totalt","totalt",5102
"Halmstad (Engelbrekt-Östra Förstaden)","totalt","totalt",3314
"Halmstad (Frennarp-Kärleken-Galgberget östra)","totalt","totalt",5910
"Halmstad (Frösakull-Tylösand-Villshärad)","totalt","totalt",4303
"Halmstad (Furet-Gamletull)","totalt","totalt",3309
"Halmstad (Fyllinge)","totalt","totalt",3564
"Halmstad (Getinge tätort)","totalt","totalt",2121
"Halmstad (Gullbrandstorp-Haverdal-Steninge)","totalt","totalt",4877
"Halmstad (Linehed norra-Gustavsfält)","totalt","totalt",6029
"Halmstad (Halmstad centrum västra-Galgberget västra)","totalt","totalt",3731
"Halmstad (Halmstad centrum östra-Nyatorp västra)","totalt","totalt",5030
"Halmstad (Halmstad centrum-Slottsjord-Kattegatt)","totalt","totalt",4004
"Halmstad (Harplinge-Getinge glesbygd)","totalt","totalt",2973
"Halmstad (Kvibille-Holm-Vapnö)","totalt","totalt",3101
"Halmstad (Linehed södra-Östra Stranden)","totalt","totalt",1694
"Halmstad (Trönninge-Gullbranna-Laxvik)","totalt","totalt",2964
"Halmstad (Nyhem södra)","totalt","totalt",1415
"Halmstad (Nyhem norra-Nyatorp östra)","totalt","totalt",3337
"Halmstad (Oskarström tätort)","totalt","totalt",4241
"Halmstad (Åled-Sennan-Oskarström glesbygd)","totalt","totalt",3666
"Halmstad (Bäckagård norra-Bäckagård södra)","totalt","totalt",4245
"Halmstad (Vallås östra)","totalt","totalt",4184
"Halmstad (Vallås västra)","totalt","totalt",2426
"Laholm (Genevad-Veinge)","totalt","totalt",2333
"Laholm (Hasslöv-Ränneslöv-Våxtorp)","totalt","totalt",5306
"Laholm (Hishult-Knäreds omland)","totalt","totalt",1525
"Laholm (Knäred)","totalt","totalt",1258
"Laholm (Laholm västra)","totalt","totalt",2071
"Laholm (Laholm östra)","totalt","totalt",4991
"Laholm (Laholms omland-Ysby)","totalt","totalt",1794
"Laholm (Lilla Tjärby)","totalt","totalt",1159
"Laholm (Mellbystrand)","totalt","totalt",2603
"Laholm (Skummeslövsstrand-Skottorp)","totalt","totalt",2586
"Laholm (Veinge omland)","totalt","totalt",949
"Falkenberg (Falkenberg centrum)","totalt","totalt",4602
"Falkenberg (Falkenberg södra)","totalt","totalt",7648
"Falkenberg (Falkenbergs norra kustområde)","totalt","totalt",2344
"Falkenberg (Falkenbergs södra kustområde)","totalt","totalt",1922
"Falkenberg (Glommen)","totalt","totalt",1397
"Falkenberg (Skogstorp)","totalt","totalt",2379
"Falkenberg (Skrea)","totalt","totalt",3208
"Falkenberg (Slöinge)","totalt","totalt",1183
"Falkenberg (Stafsinge-Gruebäcken)","totalt","totalt",3798
"Falkenberg (Tröingeberg-Fajans)","totalt","totalt",5151
"Falkenberg (Ullared-Inland)","totalt","totalt",5157
"Falkenberg (Vessigebro-Årstad)","totalt","totalt",3360
"Falkenberg (Vinberg-Ljungby)","totalt","totalt",2174
"Falkenberg (Västra gärdet)","totalt","totalt",2694
"Varberg (Breared-Mariedal-Apelviken)","totalt","totalt",6173
"Varberg (Brunnsberg-Lugnet)","totalt","totalt",2280
"Varberg (Bua-Värö)","totalt","totalt",6142
"Varberg (Hunnestad-Gödestad)","totalt","totalt",3887
"Varberg (Håsten-Holmagärde)","totalt","totalt",4236
"Varberg (Rolfstorp-Skällinge-Karl Gustav)","totalt","totalt",3692
"Varberg (Södra Näs-Träslövsläge-Gamla Köpstad)","totalt","totalt",4394
"Varberg (Sörse)","totalt","totalt",2218
"Varberg (Träslöv)","totalt","totalt",2996
"Varberg (Trönninge-Bläshammar)","totalt","totalt",5570
"Varberg (Tvååker)","totalt","totalt",3274
"Varberg (Tvååkers omland)","totalt","totalt",2953
"Varberg (Tångaberg-Årnäs)","totalt","totalt",2075
"Varberg (Varberg centrum)","totalt","totalt",4721
"Varberg (Varberg söder)","totalt","totalt",4439
"Varberg (Veddige-Derome)","totalt","totalt",4592
"Varberg (Öster-Karlberg)","totalt","totalt",4158
"Kungsbacka (Anneberg-Älvsåker)","totalt","totalt",4232
"Kungsbacka (Björkris-Voxlöv)","totalt","totalt",3551
"Kungsbacka (Fjärås)","totalt","totalt",3749
"Kungsbacka (Fjärås omland)","totalt","totalt",3781
"Kungsbacka (Frillesås)","totalt","totalt",3112
"Kungsbacka (Frillesås-Gällinge omland)","totalt","totalt",3206
"Kungsbacka (Hålabäck-Hammerö)","totalt","totalt",3327
"Kungsbacka (Kungsbacka Innerstaden)","totalt","totalt",4760
"Kungsbacka (Kungsbacka norra)","totalt","totalt",5316
"Kungsbacka (Kungsbacka södra)","totalt","totalt",4561
"Kungsbacka (Släp västra)","totalt","totalt",6745
"Kungsbacka (Släp östra)","totalt","totalt",5903
"Kungsbacka (Tingberget)","totalt","totalt",3609
"Kungsbacka (Vallda)","totalt","totalt",7399
"Kungsbacka (Västra Onsala)","totalt","totalt",7053
"Kungsbacka (Åsa)","totalt","totalt",4740
"Kungsbacka (Ölmanäs)","totalt","totalt",2110
"Kungsbacka (Östra Onsala)","totalt","totalt",8647
"Härryda (Djupedalsäng-Högadal-Orrekullen)","totalt","totalt",8128
"Härryda (Hindås)","totalt","totalt",3104
"Härryda (Härryda centrum-Skårtorp)","totalt","totalt",1261
"Härryda (Härryda-Eskilsby-Backa)","totalt","totalt",1604
"Härryda (Landvetter centrum-Önneröd-Tahult)","totalt","totalt",6422
"Härryda (Landvetter östra-Snåkered-Björröd)","totalt","totalt",3740
"Härryda (Mölnlycke centrum-Solsten-Bråta)","totalt","totalt",5493
"Härryda (Pixbo-Båtmanstorpet-Benareby )","totalt","totalt",5811
"Härryda (Rävlanda-Hällingsjö-Hindås omland)","totalt","totalt",4199
"Partille (Björndammen)","totalt","totalt",3301
"Partille (Brattåskärr)","totalt","totalt",2176
"Partille (Furulund)","totalt","totalt",2068
"Partille (Furuskog-Skulltorp)","totalt","totalt",4009
"Partille (Kåhög-Jonsered-Jonsered omland)","totalt","totalt",2622
"Partille (Lexby-Lexby omland)","totalt","totalt",2236
"Partille (Mellby-Björnekulla)","totalt","totalt",2309
"Partille (Norra Sävedalen)","totalt","totalt",4650
"Partille (Oluff Nilssons väg)","totalt","totalt",2135
"Partille (Partille centrum)","totalt","totalt",2526
"Partille (Puketorp)","totalt","totalt",2170
"Partille (Södra Sävedalen)","totalt","totalt",1772
"Partille (Vallhamra)","totalt","totalt",2441
"Partille (Västra Öjersjö)","totalt","totalt",2853
"Partille (Östra Öjersjö)","totalt","totalt",2584
"Öckerö (Björkö-Kalvsund)","totalt","totalt",1743
"Öckerö (Hälsö-Nordöarna)","totalt","totalt",1270
"Öckerö (Hönö västra)","totalt","totalt",3526
"Öckerö (Hönö östra-Grötö-Fotö)","totalt","totalt",2704
"Öckerö (Öckerö)","totalt","totalt",3557
"Stenungsund (Hallerna-Strandnorum)","totalt","totalt",3386
"Stenungsund (Hasselbacken)","totalt","totalt",2164
"Stenungsund (Jörlanda)","totalt","totalt",2102
"Stenungsund (Kristinedal)","totalt","totalt",2031
"Stenungsund (Kyrkenorum-Högenorum-Ekbacken)","totalt","totalt",2842
"Stenungsund (Stenungsund centrum-Stenungsön-Stora Askerön)","totalt","totalt",1907
"Stenungsund (Stenungsund omland)","totalt","totalt",4986
"Stenungsund (Stora Höga-Spekeröd)","totalt","totalt",4179
"Stenungsund (Västergård-Doteröd-Nytorpshöjd)","totalt","totalt",2470
"Stenungsund (Ödsmål)","totalt","totalt",1803
"Tjörn (Kållekärr)","totalt","totalt",1354
"Tjörn (Skärhamn norra)","totalt","totalt",1742
"Tjörn (Tjörn sydväst )","totalt","totalt",4958
"Tjörn (Tjörn öster)","totalt","totalt",5293
"Tjörn (Tjörns omland)","totalt","totalt",2928
"Orust (Ellös)","totalt","totalt",1174
"Orust (Henån)","totalt","totalt",2530
"Orust (Morlanda-Tegneby-Stala)","totalt","totalt",3612
"Orust (Svanesund)","totalt","totalt",2206
"Orust (Torp-Myckleby-Långelanda)","totalt","totalt",3766
"Orust (Varekil)","totalt","totalt",1062
"Orust (Västra Orust)","totalt","totalt",1065
"Sotenäs (Hunnebostrand-Bovallstrand)","totalt","totalt",2609
"Sotenäs (Kungshamn-Smögen-Hovenäset-Väjern)","totalt","totalt",5032
"Sotenäs (Sotenäs omland)","totalt","totalt",1519
"Munkedal (Munkedals tätort)","totalt","totalt",4404
"Munkedal (Svarteborg-Munkedals omland)","totalt","totalt",4691
"Munkedal (Sörbygden)","totalt","totalt",1483
"Tanum (Grebbestad)","totalt","totalt",2082
"Tanum (Tanums kustområde)","totalt","totalt",3697
"Tanum (Tanums landsbygd)","totalt","totalt",5132
"Tanum (Tanumshede)","totalt","totalt",2102
"Dals-Ed (Dals-Ed-Ed)","totalt","totalt",2136
"Dals-Ed (Dals-Eds omland)","totalt","totalt",1640
"Dals-Ed (Dals-Ed-Äng)","totalt","totalt",874
"Färgelanda (Färgelanda norra)","totalt","totalt",2041
"Färgelanda (Färgelanda södra)","totalt","totalt",4471
"Ale (Alafors)","totalt","totalt",2055
"Ale (Alvhem-Hålanda)","totalt","totalt",2816
"Ale (Bohus)","totalt","totalt",3333
"Ale (Centrala Nödinge)","totalt","totalt",2344
"Ale (Centrala Älvängen)","totalt","totalt",2296
"Ale (Nol)","totalt","totalt",3754
"Ale (Norra Älvängen)","totalt","totalt",1661
"Ale (Skepplanda)","totalt","totalt",2363
"Ale (Starrkärr-Kilanda-Ryd)","totalt","totalt",2306
"Ale (Surte)","totalt","totalt",3314
"Ale (Södra Nödinge)","totalt","totalt",2114
"Ale (Södra Älvängen)","totalt","totalt",2565
"Ale (Östra Nödinge)","totalt","totalt",1473
"Lerum (Aggetorp-Björboholm)","totalt","totalt",2103
"Lerum (Aspenäs)","totalt","totalt",3771
"Lerum (Floda)","totalt","totalt",3417
"Lerum (Gråbo)","totalt","totalt",2508
"Lerum (Hulan-Södra Lerum)","totalt","totalt",6310
"Lerum (Jeriko-Bråta-Öxeryd)","totalt","totalt",3389
"Lerum (Lerum-Hallsås)","totalt","totalt",5494
"Lerum (Lerums Kommuns omland)","totalt","totalt",2603
"Lerum (Ryggebol-Södra Floda)","totalt","totalt",2171
"Lerum (Sjövik)","totalt","totalt",1148
"Lerum (Stannum-Olstorp-Södra Gråbo)","totalt","totalt",3779
"Lerum (Stenkullen)","totalt","totalt",2226
"Lerum (Tollered)","totalt","totalt",1028
"Lerum (Uddared-Drängsered)","totalt","totalt",3589
"Vårgårda (Vårgårda landsbygd nordväst-Fly-Södra Härene)","totalt","totalt",2365
"Vårgårda (Vårgårda landsbygd sydost-Skogsbygden-Asklanda)","totalt","totalt",2129
"Vårgårda (Vårgårda landsbygd väst-Hol-Horla)","totalt","totalt",1546
"Vårgårda (Vårgårda tätort nordost-Lund-Fagrabo)","totalt","totalt",1170
"Vårgårda (Vårgårda tätort sydväst-Hallaberget-Hjultorp)","totalt","totalt",1832
"Vårgårda (Vårgårda tätort sydöst-Algutstorp-Fridhem)","totalt","totalt",1172
"Vårgårda (Vårgårda tätort väst-Centrum-Hoberg)","totalt","totalt",2054
"Bollebygd (Bollebygd tätort)","totalt","totalt",4873
"Bollebygd (Bollebygd västra)","totalt","totalt",1652
"Bollebygd (Bollebygd östra)","totalt","totalt",933
"Bollebygd (Olsfors-Hultafors)","totalt","totalt",1022
"Bollebygd (Töllsjö)","totalt","totalt",1223
"Grästorp (Grästorps omnejd)","totalt","totalt",2495
"Grästorp (Grästorps samhälle)","totalt","totalt",3151
"Essunga (Främmestad omland)","totalt","totalt",1526
"Essunga (Jonslund omland)","totalt","totalt",2120
"Essunga (Nossebro)","totalt","totalt",2071
"Karlsborg (Karlsborg norra stad)","totalt","totalt",1807
"Karlsborg (Karlsborg södra stad)","totalt","totalt",2115
"Karlsborg (Karlsborgs norra omland)","totalt","totalt",950
"Karlsborg (Karlsborgs södra omland)","totalt","totalt",1088
"Karlsborg (Mölltorp)","totalt","totalt",1097
"Gullspång (Gullspång norra)","totalt","totalt",1361
"Gullspång (Gullspång södra)","totalt","totalt",848
"Gullspång (Gullspång-Skagersvik)","totalt","totalt",1676
"Gullspång (Hova)","totalt","totalt",1309
"Tranemo (Limmared-Rosenlund)","totalt","totalt",1822
"Tranemo (Länghem)","totalt","totalt",1145
"Tranemo (Tranemo norra omland)","totalt","totalt",1724
"Tranemo (Tranemo södra)","totalt","totalt",1157
"Tranemo (Tranemo södra omland)","totalt","totalt",929
"Tranemo (Tranemo västra)","totalt","totalt",1002
"Tranemo (Tranemo västra omland)","totalt","totalt",1197
"Tranemo (Tranemo östra)","totalt","totalt",1258
"Tranemo (Tranemo östra omland)","totalt","totalt",1706
"Bengtsfors (Bengtsfors centrum)","totalt","totalt",1481
"Bengtsfors (Bengtsfors norra kommundel)","totalt","totalt",1937
"Bengtsfors (Bengtsfors södra kommundel)","totalt","totalt",1741
"Bengtsfors (Bengtsfors-Sidan södra)","totalt","totalt",1682
"Bengtsfors (Billingsfors)","totalt","totalt",1050
"Bengtsfors (Dals Långed)","totalt","totalt",1364
"Mellerud (Dalboslätten omland)","totalt","totalt",1489
"Mellerud (Kroppefjäll omland)","totalt","totalt",1968
"Mellerud (Mellerud nordöstra omland)","totalt","totalt",1548
"Mellerud (Mellerud norra)","totalt","totalt",2338
"Mellerud (Mellerud södra)","totalt","totalt",1920
"Lilla Edet (Göta)","totalt","totalt",1290
"Lilla Edet (Lilla Edet norra)","totalt","totalt",1459
"Lilla Edet (Lilla Edet södra)","totalt","totalt",2405
"Lilla Edet (Lödöse)","totalt","totalt",1990
"Lilla Edet (Nygård-Tunge-Prässebo)","totalt","totalt",2067
"Lilla Edet (Tösslanda-Hjärtum-Öresjö)","totalt","totalt",2131
"Lilla Edet (Västerlanda)","totalt","totalt",1266
"Lilla Edet (Östra Berg-Ström)","totalt","totalt",1820
"Mark (Brättingstorp)","totalt","totalt",795
"Mark (Fritsla)","totalt","totalt",2481
"Mark (Fritsla omland)","totalt","totalt",1904
"Mark (Haby-Skene centrum)","totalt","totalt",3703
"Mark (Horred)","totalt","totalt",1357
"Mark (Horred omland)","totalt","totalt",1329
"Mark (Hyssna)","totalt","totalt",1907
"Mark (Kammarberg-Kinnahult)","totalt","totalt",1430
"Mark (Kinna centrum-Näs)","totalt","totalt",3441
"Mark (Sandvallsäng-Backa-Kinnasten)","totalt","totalt",3132
"Mark (Snickare-Muraren-Aspäng)","totalt","totalt",1541
"Mark (Svansjö)","totalt","totalt",2201
"Mark (Sätila)","totalt","totalt",1547
"Mark (Sätila omland)","totalt","totalt",2691
"Mark (Västra mark)","totalt","totalt",3868
"Mark (Örby)","totalt","totalt",2002
"Svenljunga (Hillared)","totalt","totalt",1169
"Svenljunga (Kindaholm)","totalt","totalt",1473
"Svenljunga (Sexdrega-Roasjö-Redslared)","totalt","totalt",1703
"Svenljunga (Svenljunga västra tätort)","totalt","totalt",2341
"Svenljunga (Svenljunga östra tätort)","totalt","totalt",1474
"Svenljunga (Ullasjö-Örsås-Högvad)","totalt","totalt",2656
"Herrljunga (Gäsene)","totalt","totalt",2272
"Herrljunga (Herrljunga omland)","totalt","totalt",1738
"Herrljunga (Herrljunga tätort norra)","totalt","totalt",2423
"Herrljunga (Herrljunga tätort södra)","totalt","totalt",1794
"Herrljunga (Ljung-Annelund)","totalt","totalt",1290
"Vara (Helås-Arentorp-Tumleberg)","totalt","totalt",1711
"Vara (Jung-Tråvad)","totalt","totalt",2014
"Vara (Kvänum)","totalt","totalt",1419
"Vara (Larv-Längjum-Edsvära)","totalt","totalt",1366
"Vara (Stora Levene-Håkantorp)","totalt","totalt",1774
"Vara (Vara västra)","totalt","totalt",2510
"Vara (Vara östra-Emtunga)","totalt","totalt",2401
"Vara (Vedum)","totalt","totalt",1001
"Vara (Vedumsbygden)","totalt","totalt",1092
"Vara (Öttum-Norra Vånga)","totalt","totalt",875
"Götene (Götene kommun nordvästra)","totalt","totalt",3114
"Götene (Götene kommun sydöstra)","totalt","totalt",2093
"Götene (Götene tätort centrala-Götene tätort södra)","totalt","totalt",2760
"Götene (Götene tätort nordvästra)","totalt","totalt",1426
"Götene (Götene tätort nordöstra)","totalt","totalt",1006
"Götene (Källby)","totalt","totalt",1963
"Götene (Lundsbrunn)","totalt","totalt",913
"Tibro (Tibro centrala)","totalt","totalt",2226
"Tibro (Tibro landsbygd)","totalt","totalt",2578
"Tibro (Tibro nordvästra)","totalt","totalt",1623
"Tibro (Tibro nordöstra)","totalt","totalt",1719
"Tibro (Tibro sydvästra)","totalt","totalt",1559
"Tibro (Tibro sydöstra)","totalt","totalt",1694
"Töreboda (Töreboda centrala omland)","totalt","totalt",1235
"Töreboda (Töreboda centrum norra-Berget-Kårtorp)","totalt","totalt",1319
"Töreboda (Töreboda centrum sydvästra-Björkäng)","totalt","totalt",1961
"Töreboda (Töreboda centrum östra-Kilen)","totalt","totalt",1578
"Töreboda (Töreboda norra-Älgarås)","totalt","totalt",1176
"Töreboda (Töreboda södra-Moholm)","totalt","totalt",1917
"Göteborg (Angered centrum-Agnesberg)","totalt","totalt",5780
"Göteborg (Annedal-Änggården)","totalt","totalt",5804
"Göteborg (Askim norra)","totalt","totalt",6346
"Göteborg (Askim södra)","totalt","totalt",6173
"Göteborg (Backa centrala)","totalt","totalt",3592
"Göteborg (Backa Röd)","totalt","totalt",2569
"Göteborg (Backa östra)","totalt","totalt",2113
"Göteborg (Bagaregården)","totalt","totalt",3563
"Göteborg (Bergsjön centrala)","totalt","totalt",2823
"Göteborg (Bergsjön nordvästra)","totalt","totalt",5216
"Göteborg (Bergsjön Rymdtorget)","totalt","totalt",4865
"Göteborg (Bergsjön sydöstra)","totalt","totalt",2484
"Göteborg (Bergsjön södra)","totalt","totalt",2880
"Göteborg (Bergum)","totalt","totalt",5314
"Göteborg (Billdal Brottkärr)","totalt","totalt",4148
"Göteborg (Billdal Lindås)","totalt","totalt",5169
"Göteborg (Billdal Skintebo)","totalt","totalt",5078
"Göteborg (Björkekärr Delsjön)","totalt","totalt",1995
"Göteborg (Björkekärr Rosendal)","totalt","totalt",1607
"Göteborg (Björkekärr Östra sjukhuset)","totalt","totalt",5687
"Göteborg (Björlanda)","totalt","totalt",8955
"Göteborg (Bratthammar)","totalt","totalt",2534
"Göteborg (Brunnsbo norra)","totalt","totalt",2627
"Göteborg (Brunnsbo torg)","totalt","totalt",4909
"Göteborg (Eriksberg)","totalt","totalt",9674
"Göteborg (Eriksbo)","totalt","totalt",2625
"Göteborg (Fiskebäck södra)","totalt","totalt",5384
"Göteborg (Fiskebäck Tranered)","totalt","totalt",2109
"Göteborg (Flatås västra)","totalt","totalt",3278
"Göteborg (Frölunda torg västra)","totalt","totalt",3622
"Göteborg (Frölunda torg östra)","totalt","totalt",4191
"Göteborg (Gamlestaden Kviberg)","totalt","totalt",6103
"Göteborg (Gamlestaden västra)","totalt","totalt",5737
"Göteborg (Grevegården)","totalt","totalt",4536
"Göteborg (Grimmered)","totalt","totalt",4358
"Göteborg (Guldheden mellersta)","totalt","totalt",3020
"Göteborg (Guldheden norra)","totalt","totalt",1830
"Göteborg (Guldheden södra)","totalt","totalt",5782
"Göteborg (Guldringen)","totalt","totalt",2454
"Göteborg (Gårdsten nordöstra)","totalt","totalt",5508
"Göteborg (Gårdsten sydvästra)","totalt","totalt",4273
"Göteborg (Haga)","totalt","totalt",3829
"Göteborg (Hagen)","totalt","totalt",5762
"Göteborg (Hammarkullen centrala)","totalt","totalt",4969
"Göteborg (Hammarkullen yttre)","totalt","totalt",3447
"Göteborg (Heden västra)","totalt","totalt",4619
"Göteborg (Heden östra)","totalt","totalt",1327
"Göteborg (Hjuvik)","totalt","totalt",7361
"Göteborg (Hjällbo västra)","totalt","totalt",5173
"Göteborg (Hjällbo östra)","totalt","totalt",1963
"Göteborg (Hovås)","totalt","totalt",3402
"Göteborg (Högsbo-Flatås östra)","totalt","totalt",1746
"Göteborg (Högsbohöjd norra)","totalt","totalt",2555
"Göteborg (Högsbohöjd södra)","totalt","totalt",2236
"Göteborg (Högsbotorp västra)","totalt","totalt",4410
"Göteborg (Högsbotorp östra)","totalt","totalt",3752
"Göteborg (Inom Vallgraven)","totalt","totalt",4091
"Göteborg (Johanneberg Chalmers)","totalt","totalt",4299
"Göteborg (Johanneberg västra)","totalt","totalt",4038
"Göteborg (Järnbrott)","totalt","totalt",4263
"Göteborg (Svartedalen)","totalt","totalt",4507
"Göteborg (Kallebäck västra)","totalt","totalt",3191
"Göteborg (Kallebäck östra)","totalt","totalt",1994
"Göteborg (Kannebäck)","totalt","totalt",3260
"Göteborg (Kaverös)","totalt","totalt",4500
"Göteborg (Kortedala  södra)","totalt","totalt",1747
"Göteborg (Kortedala nordvästra)","totalt","totalt",4586
"Göteborg (Kortedala nordöstra)","totalt","totalt",4826
"Göteborg (Kortedala sydöstra)","totalt","totalt",6198
"Göteborg (Krokslätt Mossen)","totalt","totalt",1528
"Göteborg (Krokslätt norra)","totalt","totalt",5019
"Göteborg (Krokslätt södra)","totalt","totalt",7643
"Göteborg (Kungsladugård Kungsladugårdsgatan)","totalt","totalt",5299
"Göteborg (Kungsladugård Älvsborgsgatan)","totalt","totalt",5673
"Göteborg (Kvillebäcken Backaplan)","totalt","totalt",3730
"Göteborg (Kvillebäcken Björlandavägen)","totalt","totalt",4865
"Göteborg (Kvillebäcken Wieselgrensplatsen)","totalt","totalt",4911
"Göteborg (Kyrkbyn Bräcke)","totalt","totalt",5012
"Göteborg (Kyrkbyn östra)","totalt","totalt",3394
"Göteborg (Kålltorp Munkebäckstorget)","totalt","totalt",2877
"Göteborg (Kålltorp södra)","totalt","totalt",3156
"Göteborg (Kålltorp Vidkärr)","totalt","totalt",3556
"Göteborg (Kärra centrum)","totalt","totalt",6358
"Göteborg (Kärra Gerrebacka)","totalt","totalt",4265
"Göteborg (Kärralund)","totalt","totalt",3303
"Göteborg (Kärrdalen)","totalt","totalt",5306
"Göteborg (Landala norra)","totalt","totalt",3412
"Göteborg (Landala södra)","totalt","totalt",1544
"Göteborg (Lindholmen)","totalt","totalt",5148
"Göteborg (Linnarhult-Gunnilse)","totalt","totalt",2461
