"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Täby (Arninge-Ullna)","totalt","totalt",3666
"Täby (Byle)","totalt","totalt",2428
"Täby (Ella Gård)","totalt","totalt",4463
"Täby (Ella Park)","totalt","totalt",2577
"Täby (Ensta)","totalt","totalt",2055
"Täby (Erikslund)","totalt","totalt",1745
"Täby (Gribby-Kohagen)","totalt","totalt",3368
"Täby (Gribby-Myräng)","totalt","totalt",3877
"Täby (Karlsund)","totalt","totalt",1699
"Täby (Lahäll)","totalt","totalt",3244
"Täby (Midgård)","totalt","totalt",2113
"Täby (Nytorp)","totalt","totalt",2315
"Täby (Näsby Park)","totalt","totalt",1867
"Täby (Näsby Slott)","totalt","totalt",1914
"Täby (Näsbydal)","totalt","totalt",2641
"Täby (Roslags-Näsby)","totalt","totalt",4238
"Täby (Runborg)","totalt","totalt",1984
"Täby (Skarpäng)","totalt","totalt",3729
"Täby (Tibble)","totalt","totalt",3790
"Täby (Täby Centrum)","totalt","totalt",2598
"Täby (Täby Park)","totalt","totalt",4013
"Täby (Vallabrink)","totalt","totalt",1844
"Täby (Vallatorp)","totalt","totalt",1959
"Täby (Viggbyholm)","totalt","totalt",1754
"Täby (Visinge)","totalt","totalt",1541
"Täby (Västra Hägernäs)","totalt","totalt",3229
"Täby (Östra Hägernäs)","totalt","totalt",4486
"Danderyd (Danderyd centrala västra)","totalt","totalt",5365
"Danderyd (Danderyd centrala östra)","totalt","totalt",2514
"Danderyd (Danderyd västra)","totalt","totalt",5205
"Danderyd (Djursholm norra)","totalt","totalt",4678
"Danderyd (Djursholm södra)","totalt","totalt",4330
"Danderyd (Enebyberg)","totalt","totalt",5403
"Danderyd (Stocksund)","totalt","totalt",5197
"Sollentuna (Bagarby)","totalt","totalt",4775
"Sollentuna (Edsberg)","totalt","totalt",5844
"Sollentuna (Edsviken-Kummelby)","totalt","totalt",3328
"Sollentuna (Eriksberg-Fågelsången)","totalt","totalt",4166
"Sollentuna (Falkberget-Södra Sjöberg)","totalt","totalt",3022
"Sollentuna (Gillbo-Gillberga)","totalt","totalt",3482
"Sollentuna (Helenelunds centrum)","totalt","totalt",1750
"Sollentuna (Häggvik-Klasro)","totalt","totalt",4588
"Sollentuna (Knista)","totalt","totalt",3747
"Sollentuna (Landsnora-Kvarnskogen)","totalt","totalt",3584
"Sollentuna (Norrviken)","totalt","totalt",3625
"Sollentuna (Nytorp-Hersby-Skansen)","totalt","totalt",4463
"Sollentuna (Rotebro centrum)","totalt","totalt",1605
"Sollentuna (Rotsunda)","totalt","totalt",3839
"Sollentuna (Sjöbergs centrum)","totalt","totalt",1696
"Sollentuna (Sollentuna centrum)","totalt","totalt",1962
"Sollentuna (Tegelhagen-Silverdal)","totalt","totalt",5277
"Sollentuna (Töjnan)","totalt","totalt",3976
"Sollentuna (Vaxmora-Väsjön)","totalt","totalt",6041
"Sollentuna (Viby-Järvafältet)","totalt","totalt",5467
"Stockholm (Abrahamsberg)","totalt","totalt",3318
"Stockholm (Akalla)","totalt","totalt",9264
"Stockholm (Alvik)","totalt","totalt",1585
"Stockholm (Aspudden)","totalt","totalt",8932
"Stockholm (Bagarmossen)","totalt","totalt",11625
"Stockholm (Bandhagen)","totalt","totalt",6973
"Stockholm (Beckomberga)","totalt","totalt",6091
"Stockholm (Björkhagen)","totalt","totalt",6853
"Stockholm (Blackeberg)","totalt","totalt",9117
"Stockholm (Bredäng)","totalt","totalt",10718
"Stockholm (Bromma kyrka)","totalt","totalt",2717
"Stockholm (Bromsten)","totalt","totalt",6576
"Stockholm (Bällsta)","totalt","totalt",843
"Stockholm (Djurgården)","totalt","totalt",815
"Stockholm (Eneby)","totalt","totalt",877
"Stockholm (Engelbrekts kyrka)","totalt","totalt",12409
"Stockholm (Enskede Gård)","totalt","totalt",3334
"Stockholm (Enskededalen)","totalt","totalt",2770
"Stockholm (Enskedefältet)","totalt","totalt",1657
"Stockholm (Fagersjö)","totalt","totalt",2874
"Stockholm (Farsta)","totalt","totalt",15411
"Stockholm (Flysta)","totalt","totalt",2325
"Stockholm (Fredhäll)","totalt","totalt",5390
"Stockholm (Fruängen)","totalt","totalt",9798
"Stockholm (Gamla Enskede)","totalt","totalt",10843
"Stockholm (Grimsta)","totalt","totalt",4746
"Stockholm (Gröndal)","totalt","totalt",9113
"Stockholm (Gubbängen)","totalt","totalt",5919
"Stockholm (Gustav Vasa)","totalt","totalt",15097
"Stockholm (Gärdet)","totalt","totalt",22895
"Stockholm (Hagsätra)","totalt","totalt",9937
"Stockholm (Hammarbyhöjden)","totalt","totalt",10763
"Stockholm (Hedvig Eleonora)","totalt","totalt",11216
"Stockholm (Herrängen)","totalt","totalt",3905
"Stockholm (Hjorthagen-Värtahamnen)","totalt","totalt",9498
"Stockholm (Husby)","totalt","totalt",11949
"Stockholm (Hägersten)","totalt","totalt",9979
"Stockholm (Hägerstensåsen)","totalt","totalt",8331
"Stockholm (Hässelby Gård)","totalt","totalt",11564
"Stockholm (Hässelby Strand)","totalt","totalt",8252
"Stockholm (Hässelby Villastad)","totalt","totalt",19125
"Stockholm (Högdalen)","totalt","totalt",10600
"Stockholm (Höglandet)","totalt","totalt",1413
"Stockholm (Hökarängen)","totalt","totalt",10327
"Stockholm (Johanneshov)","totalt","totalt",6296
"Stockholm (Kista)","totalt","totalt",14167
"Stockholm (Klara-Jacob)","totalt","totalt",2164
"Stockholm (Kristineberg)","totalt","totalt",8013
"Stockholm (Kungsholm)","totalt","totalt",20001
"Stockholm (Kälvesta)","totalt","totalt",4554
"Stockholm (Kärrtorp)","totalt","totalt",5328
"Stockholm (Larsboda)","totalt","totalt",2629
"Stockholm (Liljeholmen)","totalt","totalt",17222
"Stockholm (Lilla Essingen)","totalt","totalt",4771
"Stockholm (Liseberg)","totalt","totalt",1446
"Stockholm (Långbro)","totalt","totalt",7676
"Stockholm (Långsjö)","totalt","totalt",3052
"Stockholm (Mariatorget)","totalt","totalt",14956
"Stockholm (Marieberg)","totalt","totalt",3071
"Stockholm (Mariehäll)","totalt","totalt",10386
"Stockholm (Mellersta Högalid)","totalt","totalt",11132
"Stockholm (Midsommarkransen)","totalt","totalt",11590
"Stockholm (Mälarhöjden)","totalt","totalt",4402
"Stockholm (Nockeby)","totalt","totalt",3243
"Stockholm (Nockebyhov-Olovslund)","totalt","totalt",3980
"Stockholm (Norra Adolf Fredrik)","totalt","totalt",4452
"Stockholm (Norra Högalid)","totalt","totalt",13934
"Stockholm (Norra Johannes)","totalt","totalt",10230
"Stockholm (Norra Skarpnäcks Gård)","totalt","totalt",7117
"Stockholm (Norra Sofia)","totalt","totalt",8216
"Stockholm (Norra Ängby)","totalt","totalt",6236
"Stockholm (Nälsta)","totalt","totalt",5049
"Stockholm (Oscars kyrka)","totalt","totalt",16140
"Stockholm (Reimersholme-Långholmen)","totalt","totalt",2519
"Stockholm (Riksby-Åkeshov)","totalt","totalt",5082
"Stockholm (Rinkeby)","totalt","totalt",17247
"Stockholm (Råcksta)","totalt","totalt",10166
"Stockholm (Rågsved)","totalt","totalt",12013
"Stockholm (Skärholmen)","totalt","totalt",8965
"Stockholm (Sköndal)","totalt","totalt",10708
"Stockholm (Smedslätten)","totalt","totalt",2582
"Stockholm (Solberga)","totalt","totalt",12800
"Stockholm (Solhem-Lunda)","totalt","totalt",9393
"Stockholm (Stadshagen)","totalt","totalt",8691
"Stockholm (Stora Essingen)","totalt","totalt",4525
"Stockholm (Stora Mossen)","totalt","totalt",1775
"Stockholm (Storkyrkan)","totalt","totalt",3153
"Stockholm (Stureby)","totalt","totalt",8595
"Stockholm (Sundby)","totalt","totalt",2659
"Stockholm (Svedmyra)","totalt","totalt",3610
