Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
21655234,1980,2120002080,Hässlögymnasiet,Vilande
44177224,1784,2120001892,"Centralskolan, sär",Vilande
90521687,1784,2120001892,"Kyrkebyskolan, sär",Vilande
20432784,1780,2120001850,Frödingskolan trs,Vilande
90877777,1496,2120001710,Central Insamlingsenhet Kommunal verksamhet,Vilande
99355155,1496,2120001710,Kavelbro enhet 13,Vilande
42513022,1496,2120001710,Rydskolan 457,Vilande
79244614,1496,2120001710,Rydskolan 459,Vilande
20843768,1496,2120001710,Våmbskolan,Vilande
36779550,1383,2120001249,Ginsten- särskild undervisningsgrupp,Vilande
29128854,1280,2120001124,JENSEN Education SFI,Vilande
97265079,1280,2120001124,Jägersroskolan,Vilande
27185100,1280,2120001124,"Merit utbildning, SFI",Vilande
57203040,1281,2120001132,Gråsparvskolan,Vilande
41167957,1281,2120001132,Ro integrerade särskoleelever,Vilande
71090476,0765,2120000647,Pjätteryds skola,Vilande
61094173,0580,2120000449,Kärna skola 7-9,Vilande
42937131,0580,2120000449,Tokarpsskolan F-5,Vilande
86308068,0484,2120000357,"Sjukhusskolan, gymn",Vilande
55151256,0484,2120000357,Central Insamlingsenhet Enskild verksamhet,Vilande
28164731,0686,2120000589,"EksjöVux, komvux",Aktiv
75734238,0686,2120000589,"EksjöVux, SFI",Aktiv
10155751,0687,2120000597,Ängarydsskolan,Aktiv
65431245,2582,5567226062,Mimers Brunn Vittjärv,Aktiv
60088179,0780,2120000662,Teknikum 1,Aktiv
28391147,0780,2120000662,Teknikum 2,Aktiv
91748148,2183,5567600886,Hälsingegymnasiet,Aktiv
83896681,1980,5568373228,Centuriaskolan,Aktiv
48487229,0980,2120000803,Sanda skola,Aktiv
52791160,0980,2120000803,Tjelvarskolan,Aktiv
18828813,1884,7164531886,Borns Friskola,Aktiv
29524966,0127,7696000590,Freinetskolan Kastanjen,Aktiv
81683738,1256,2120000860,Snapphaneskolan,Aktiv
34882305,1231,2120001025,Tågarpskolan,Aktiv
76938537,1480,8520004261,Montessoriskolan Casa,Aktiv
13390547,1880,8750023650,Hannaskolan,Aktiv
48874671,1280,2120001124,Dammfriskolan,Aktiv
