Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
17803296;Rolfstorps skola F-3 och fritidshem;VARBERGS KOMMUN
56041144;Furulundsskolan 3;Sölvesborgs-Bromöllas Kommunalförbund
30454178;Åvestadalskolan;AVESTA KOMMUN
71203301;Velanderskolan;MALMÖ KOMMUN
64685315;Björknäsgymnasiet Sektor 5;BODENS KOMMUN
12798949;Komvux;ÖSTHAMMARS KOMMUN
42283307;SFI;ÖSTHAMMARS KOMMUN
44273650;Särvux;ÖSTHAMMARS KOMMUN
27479345;Ryfors skola;ÄLMHULTS KOMMUN
44031601;Höglundaskolan;HANINGE KOMMUN
62530680;Magelungens Gymnasium Gotlandsgatan;Magelungen Utveckling AB
11311971;Osbecksgymnasiet;LAHOLMS KOMMUN
42877521;Djurgårdsskolan F-3;ESKILSTUNA KOMMUN
30701609;Bråstorpskolan;MOTALA KOMMUN
71377289;Kista Enskilda Gymnasium;TÄBY ENSKILDA GYMNASIUM AB
38975788;Tungelsta skola;HANINGE KOMMUN
90537318;Vikingaskolan;HANINGE KOMMUN
84776762;Sandviksskolan;KARLSKOGA KOMMUN
97284851;Kävlinge Lärcentrum SFI;KÄVLINGE KOMMUN
88192227;Kävlinge Lärcentrum, Gymnasieskola;KÄVLINGE KOMMUN
60231511;Kävlinge Lärcentrum, Komvux;KÄVLINGE KOMMUN
14278480;Kungsgårdsgymnasiet 3;NORRKÖPINGS KOMMUN
23470743;Mariaskolan;UMEÅ KRISTNA FRISKOLEFÖRENING
70969556;Osbecksgymnasiet RO2;LAHOLMS KOMMUN
58663719;Fröviskolan;LINDESBERGS KOMMUN
84978846;Bräckegymnasiet 4;GÖTEBORGS KOMMUN
31688123;Kometskolan Introduktionsprogram;STAFFANSTORPS KOMMUN
20722895;Uppåkraskolan;STAFFANSTORPS KOMMUN
39195556;Tärnan 4-6;VÄNERSBORGS KOMMUN
58654483;Torpaskolan Norr;VÄNERSBORGS KOMMUN
56363473;Gottorpskolan;MALMÖ KOMMUN
93499143;Vetlanda Lärcentrum SFI;VETLANDA KOMMUN
71440408;Paradisskolan;ÄLMHULTS KOMMUN
36154153;Torskolan LM;TORSÅS KOMMUN
80093683;Solbackens förskoleklass och fritidshem;Skogsbäckens personalkooperativ Ekonomisk förening
74812809;Kungsh gy/Sthlms Musikgy 74812809;STOCKHOLMS KOMMUN
21395257;Broholmskolan Götene;Broholmskolans ekonomiska förening
31356056;Tobiasskolan;STIFTELSEN TOBIASGÅRDEN
25160697;Snitz Gymnasium Malmö;Swedish Education Group AB
63993414;Umeå Internationella Gymnasium;FOLKUNIVERSITETET UPPDRAG NORR AKTIEBOLAG
68242896;Linnéaskolan;Föreningen Fogdaröd omsorg, vård & skola upa ek. för.
45600034;Linnégymnasiet;UPPSALA KOMMUN
34672151;Uven gymnasiet;UPPSALA KOMMUN
12377376;Magelungens grundskola Svedmyra;Magelungen Utveckling AB
86248948;Nya Skolan Skövde;Nya Skolan Sverige AB
53398338;Thea Privata Grundskola Södermalm;Tellusskolan II AB
29032715;Vägga gymnasieskola 4;KARLSHAMNS KOMMUN
23849498;Järfälla Vägledningsc. IMIND;JÄRFÄLLA KOMMUN
34742706;Kokaliteskolan;KOKALITE AKTIEBOLAG
82828044;Errarps skola;ÄNGELHOLMS KOMMUN
74358019;Internationella Engelska Skolan Nacka;Internationella Engelska Skolan i Sverige AB
61128264;Internationella Engelska Skolan Östersund;Internationella Engelska Skolan i Sverige AB
77713695;Umeå Elitidrottsgymnasium;UMEÅ KOMMUN
15418724;Vittra Gamlestaden;Vittraskolorna AB
60569543;JENSEN grundskola Mölndal;JENSEN EDUCATION COLLEGE AB
71181921;Länna skola;PYSSLINGEN FÖRSKOLOR OCH SKOLOR AB
32960825;Björknäsgymnasiet Enhet 1;BODENS KOMMUN
41416934;Björknäsgymnasiet Enhet 3;BODENS KOMMUN
35649580;Kompetenscentrum;TIDAHOLMS KOMMUN
88770449;Rudbecksgymnasiet 3;TIDAHOLMS KOMMUN
78730011;Alléskolan 6;SYDNÄRKES UTBILDNINGSFÖRBUND
15534344;Viggestorpsskolan;FINSPÅNGS KOMMUN
69312919;Junkaremålsskolan F-6;TRANÅS KOMMUN
63471148;Dalslundskolan F-3;BURLÖVS KOMMUN
28305590;Central Insamlingsenhet;SVALÖVS KOMMUN
56521117;Bergvretenskolan;ENKÖPINGS KOMMUN
85782695;Distra Gymnasium;DISTRA UTBILDNINGS CENTER AB
80378022;Botkyrka Friskola F-9;JPK Education AB
77403120;Språkcentrum;KIRUNA KOMMUN
69708298;Grillbyskolan;ENKÖPINGS KOMMUN
22410547;Lillkyrkaskolan;ENKÖPINGS KOMMUN
70152961;Munksundsskolan;ENKÖPINGS KOMMUN
71520788;Torpa fritidshem;LJUNGBY KOMMUN
43362307;Celsiusskolan 7-9;OVANÅKERS KOMMUN
63488719;Celsiusskolan F-6;OVANÅKERS KOMMUN
28267726;Lunds Dans- o Musikalgymnasium;Dans o Musikal i Lund AB
39130316;Rotebergs skola;OVANÅKERS KOMMUN
10433896;Grillska Gymnasiet Västerås;STADSMISSIONENS SKOLSTIFTELSE
24501884;Ingelstadgymnasiet;HUSHÅLLNINGSSÄLLSKAPET KALMAR-KRONOBERG-BLEKINGE
52634142;Vreta utbildningscentrum;REGION ÖSTERGÖTLAND
51635322;Vreta utbildningscentrum komvux;REGION ÖSTERGÖTLAND
92406445;Säbyskolan;SALEMS KOMMUN
28306495;Läraskolan;Läraskolan i Bålsta AB
98908403;Rönninge gymnasium;SALEMS KOMMUN
73171934;Torsbergsgymnasiet RO4;Hälsinglands Utbildningsförbund
90664546;Lindesborgsskolan;TOMELILLA KOMMUN
32231541;Täby Friskola-Enhagen;TÄBY FRISKOLA AKTIEBOLAG
53006386;Skruvstads skola;GRUMS KOMMUN
91213471;Klockargårdens skola;LIDINGÖ KOMMUN
65153737;Ol Andersskolan;TIERPS KOMMUN
28944273;Urshultsskolan;TINGSRYDS KOMMUN
60164702;Flottiljen Dibber;Dibber Askrike AB
22891571;Strandskolan;KARLSBORGS KOMMUN
75149624;Högåsskolan;KNIVSTA KOMMUN
35654532;Vuxenutbildningen;KNIVSTA KOMMUN
18116804;Pär Lagerkvistskolan 7-9;VÄXJÖ KOMMUN
85236752;Nöbbele skola;VÄXJÖ KOMMUN
48603324;Horsbyskolan F-3;HERRLJUNGA KOMMUN
92471460;Borrby skola;SIMRISHAMNS KOMMUN
85185429;Öjaby skola;VÄXJÖ KOMMUN
67006679;Ör skola;VÄXJÖ KOMMUN
60131588;Sticklinge skola;LIDINGÖ KOMMUN
40364194;Gunnarsbo ABC;MULLSJÖ KOMMUN
87109819;Montessoriskolan Globen;ALINGSÅS MONTESSORI SKOLA GLOBEN
32879845;Apelrydsskolan i Båstad;STIFTELSEN APELRYD INTERNATIONAL
20137688;Käppala skola;LIDINGÖ KOMMUN
40995060;Kronängskolan;MULLSJÖ KOMMUN
99622695;Uddevalla gymnasieskola, Östrabo Y ES;UDDEVALLA KOMMUN
32866578;Broskolan Ö-viks Kristna skola;Broskolan AB
80493898;Jormvattnets skola;STRÖMSUNDS KOMMUN
76970830;Frostviksskolan;STRÖMSUNDS KOMMUN
29371242;Campus Manilla;Campus Manilla Utbildning AB
22058882;Traryds skola;MARKARYDS KOMMUN
48120273;Campus Manilla Gymnasium;Campus Manilla Utbildning AB
74986765;Solbergaskolan;HOFORS KOMMUN
53691739;NTI Gymnasiet Kristianstad;NTI Gymnasiet Ellips AB
77835341;Västerviks gymnasium Ro 2;VÄSTERVIKS KOMMUN
59898194;JENSEN Gymnasium Internationella;JENSEN EDUCATION COLLEGE AB
47264019;LBS Kreativa Gymnasiet Halmstad;LJUD & BILDSKOLAN LBS AB
21400668;LBS Kreativa Gymnasiet Trollhättan;LJUD & BILDSKOLAN LBS AB
70304200;Särsk. Noltorpskolan;ALINGSÅS KOMMUN
97207389;Kållekärr skola;TJÖRNS KOMMUN
36255401;Raul Wallenbergskolan Karlstad;Raoul Wallenbergskolorna AB
53416468;Simrislundsskolan;SIMRISHAMNS KOMMUN
32705515;RyssbyGymnasiet;RYSSBYGYMNASIET AB
88988946;Krika Bygdeskola;KRIKA SKOLA IDEELL FÖRENING
35890890;Västerholms friskola;VÄSTERHOLMS FRISKOLA AB
77747055;Sandåkerskolan;LANDSKRONA KOMMUN
45045293;Katolska skolan av Notre Dame;Vår Fru AB
78397312;Donnergymnasiet;Donnergymnasiet AB
13960635;Kungsmadskolan 7;VÄXJÖ KOMMUN
97868185;Mediateknikerutbildningen, MTU;MEDIATEKNIKERUTBILDNINGEN, MTU AB
47290443;Rälsen AB i Viby;RÄLSEN AKTIEBOLAG
58881130;Strömsbergs Friskola;Friskolan i Strömsberg AB
76470241;Krokslättsgymnasiet Skolenhet 1;MÖLNDALS KOMMUN
59958745;Sophiaskolan;STIFT SOPHIASKOLAN, ÖSTERLENS WALDORFSKOLA
75795368;Söderporten;NORRKÖPINGS KOMMUN
78103351;Komvux;KALIX KOMMUN
85101052;SFI;KALIX KOMMUN
10443922;Entréskolan Eskilstuna;AmiSgo AB
29585776;Vassbo skola;Vassbo Behandlingshem AB
21778322;Växjö Fria Gymnasium;VÄXJÖ FRIA GYMNASIUM AB
70376604;Strömbacka Frigg;PITEÅ KOMMUN
79957690;Norgårdens Grundsärskola;UDDEVALLA KOMMUN
27761276;Stråkets förskoleklass;UDDEVALLA KOMMUN
56529916;Bäckadalsgymn RO 4;JÖNKÖPINGS KOMMUN
41119610;Göranssonska skolan;SANDVIK UTBILDNINGSAKTIEBOLAG
60881275;Erik Dahlbergsgymnasiet RO 5;JÖNKÖPINGS KOMMUN
72232853;Per Brahegymnasiet RO 3;JÖNKÖPINGS KOMMUN
20855811;Väsby Nya Gymnasium;UPPLANDS VÄSBY KOMMUN
25315338;Väsby Vuxenutbildning SFI;UPPLANDS VÄSBY KOMMUN
17059719;Åsele Centralskola, SFI;ÅSELE KOMMUN
86831724;Igelboda skola;NACKA KOMMUN
22472689;Jarlabergs skola;NACKA KOMMUN
21346638;Järla skola;NACKA KOMMUN
64736967;Västbergaskolan;VÄSTBERGASKOLAN AB
14040970;Stavsborgsskolan;NACKA KOMMUN
86937935;Sågtorpsskolan;NACKA KOMMUN
82047013;Älta skola;NACKA KOMMUN
79012683;Annerstaskolan;HUDDINGE KOMMUN
14876727;Kunskapsnavet Kalmar kommun;KALMAR KOMMUN
83756242;Smolmark skola;ÅRJÄNGS KOMMUN
62855448;Nacka Enskilda Gymnasium;Nacka Enskilda Gymnasium AB
40684137;Karlsängskolan;NORA KOMMUN
46194530;Parkskolan;STORUMANS KOMMUN
55055777;Fagernäs skola;BODENS KOMMUN
57649922;Komvux;BODENS KOMMUN
98704682;Svartbjörnsbyns skola;BODENS KOMMUN
29649408;Älvskolan;BODENS KOMMUN
21917957;Strandskolan Montessoriföreningen i Kungälv;STRANDSKOLAN, MONTESSORIFÖRENINGEN I KUNGÄLV
22451343;Källskolan;NORBERGS KOMMUN
68358072;Casa Montessori;MONTESSORISTIFTELSEN I PARTILLE
47623650;Tyresö kommun särvux;TYRESÖ KOMMUN
95659810;Tyresö kommun, SFI;TYRESÖ KOMMUN
12302785;Modersmål;KÄVLINGE KOMMUN
12813506;Ubbhultskolan;MARKS KOMMUN
30361243;Malmö Borgarskola Ro 1;MALMÖ KOMMUN
70200717;Valdemarsro gymnasium;MALMÖ KOMMUN
93236176;Valdemarsro gymnasium, gysär;MALMÖ KOMMUN
56594923;Pilkrogs friskola;PILKROGS FRISKOLA EK. FÖR.
40078624;Harbo skola F-6;HEBY KOMMUN
86212202;CLL/Gymnasieutbildningen;HEBY KOMMUN
40252965;Kinda Lärcentrum, SFI;KINDA KOMMUN
94660328;Kinda lärcentrum;KINDA KOMMUN
87606101;Geneskolan;ÖRNSKÖLDSVIKS KOMMUN
45295878;Åryds Friskola;ÅRYDS FRISKOLA
39555838;Lapplands Gymnasium Jokkmokk;LAPPLANDS KOMMUNALFÖRBUND
37132239;Särvux, komvux, RO15;Hälsinglands Utbildningsförbund
14609593;Modersmålslärare;SKELLEFTEÅ KOMMUN
66002503;Bergsbyskolan;SKELLEFTEÅ KOMMUN
81577420;Vallsta skola F-6;BOLLNÄS KOMMUN
71084877;Åsbackaskolan;SPECIALPEDAGOGISKA SKOLMYNDIGHETEN
71798007;Central grundsärskola Sjungande dalen;SKELLEFTEÅ KOMMUN
46982235;Sjungande Dalens skola;SKELLEFTEÅ KOMMUN
26619765;Karungi skola;HAPARANDA KOMMUN
31409065;Nikkala skola;HAPARANDA KOMMUN
68499692;Seskarö skola;HAPARANDA KOMMUN
86463947;Idkerbergets skola;BORLÄNGE KOMMUN
35298945;Välkommaskolan Gysär;LAPPLANDS KOMMUNALFÖRBUND
17178244;ABF/Komvux;GÖTEBORGS KOMMUN
76346579;Skogsduvan Mossebo;Skogsduvans Föräldrakooperativ Ekonomisk förening
75091646;Ljungbyhedsskolan;KLIPPANS KOMMUN
15197976;Prövningar/Vuxenutb.förvalt.;GÖTEBORGS KOMMUN
49898792;Lernia/Vux;GÖTEBORGS KOMMUN
52988991;Madenskolan;ALE KOMMUN
48056871;Hestraskolan;YDRE KOMMUN
61969375;Ydreskolan 1;YDRE KOMMUN
92009678;Gräsö skola;ÖSTHAMMARS KOMMUN
74486554;Marielund- Språkskolan;HAPARANDA KOMMUN
61199979;Strandskolan;MALMÖ KOMMUN
57548666;Österbyskolan;ÖSTHAMMARS KOMMUN
75532388;Kyrkskolan;SUNDSVALLS KOMMUN
61299583;Runsviks skola;SUNDSVALLS KOMMUN
32749846;Södermalms skola;SUNDSVALLS KOMMUN
96111255;Bergs Gymnasiesärskola;BERGS KOMMUN
69244685;Bellevueskolan;BELLEVUESKOLAN AKTIEBOLAG
42615925;Fagerhults skola;HABO KOMMUN
79878458;Kråkerydskolan;HABO KOMMUN
60513602;Tranemo gymnasieskola;TRANEMO KOMMUN
98249908;Tranemo gymnasieskola, komvux;TRANEMO KOMMUN
43814639;Tranemo gymnasieskola, SFI;TRANEMO KOMMUN
52615785;Eriksbergsskolan;SOLLENTUNA KOMMUN
76332227;Kyrkhedens skola F-3;HAGFORS KOMMUN
64392595;Råda skola;HAGFORS KOMMUN
80027750;Dragonskolan IM;UMEÅ KOMMUN
21576764;Söderfjärdsskolan;VAXHOLMS KOMMUN
11442396;Stockholm International Academy Hägersten;Mubarak Utbildning AB
83735665;Stockholm International Academy Häggvik;Mubarak Utbildning AB
39109900;Vuxenutbildningen i Ovanåker/Svenska för invandrare;OVANÅKERS KOMMUN
81463393;Malgovik skola;VILHELMINA KOMMUN
62203772;Nästansjö skola;VILHELMINA KOMMUN
13678293;Carl Engström vuxenutbildning;ESLÖVS KOMMUN
31397046;Carl Engström vuxenutbildning SFI;ESLÖVS KOMMUN
13488043;Sallerupskolan;ESLÖVS KOMMUN
83331030;Forshaga Lärcenter LM-stadiet;FORSHAGA KOMMUN
30403490;Ytterlännässkolan;KRAMFORS KOMMUN
95785072;Skrylleängs Montessoriskola;DALBY OCH SÖDRA SANDBY MONTESSORIFÖRENING EK FÖR
53133366;Orminge skola;NACKA KOMMUN
12448823;Vettergymnasiet Jönköping;Wetterbygdens Gymnasium AB
31463027;Körfältsskolan;ÖSTERSUNDS KOMMUN
63887204;Mimergården sär;ÖSTERSUNDS KOMMUN
24561769;Hemmestaskolan;VÄRMDÖ KOMMUN
55037934;Furutorpskolan 4-6;HÄSSLEHOLMS KOMMUN
77340618;Västerås Internationella Skola;Utbildningsservice i Västerås AB
27829033;Runnerydsskolan 2;NÄSSJÖ KOMMUN
32676873;Lidhults skolan;LJUNGBY KOMMUN
87414531;Angelstadskolan;LJUNGBY KOMMUN
75853223;Åbyskolan 2;LJUNGBY KOMMUN
21901328;Sunnerbogymnasiet 4;LJUNGBY KOMMUN
60214465;Sunnerbogymnasiet 1;LJUNGBY KOMMUN
23372675;IM Jacobsskolan;HÄSSLEHOLMS KOMMUN
47884009;Mjölby gymnasium 5;MJÖLBY KOMMUN
14448619;Nösnäsgymnasiet 3;STENUNGSUNDS KOMMUN
50657064;Nils Fredriksson-utb., SFI;SVEDALA KOMMUN
12546590;Nösnäsgymnasiet 4;STENUNGSUNDS KOMMUN
50108759;Nordenbergsskolan 3;OLOFSTRÖMS KOMMUN
89816391;Nösnäsgymnasiet 2;STENUNGSUNDS KOMMUN
28803215;Kapareskolan A-D;KUNGSBACKA KOMMUN
55017747;Kollaskolan 4-6;KUNGSBACKA KOMMUN
55024806;Hasslerörs skola;MARIESTADS KOMMUN
57260659;Lyrestads skola;MARIESTADS KOMMUN
75372005;Hällaryds skola;KARLSHAMNS KOMMUN
83380643;Sternöskolan;KARLSHAMNS KOMMUN
89878714;Norrevångskolan;KARLSHAMNS KOMMUN
98037942;Kollaskolan F-3;KUNGSBACKA KOMMUN
64856695;Stölletskolan;TORSBY KOMMUN
47439992;Kristinebergsskolan 3;ÅMÅLS KOMMUN
16772632;Älvsåkersskolan F-3;KUNGSBACKA KOMMUN
98781765;Jämtlands Gymn, Fyrvalla 3B;JÄMTLANDS GYMNASIEFÖRBUND
64411379;Jämtlands Gymn, Bräcke 4B;JÄMTLANDS GYMNASIEFÖRBUND
80720848;Jämtlands Vux Bräcke;JÄMTLANDS GYMNASIEFÖRBUND
43362941;Jämtlands Gymn, Wången;JÄMTLANDS GYMNASIEFÖRBUND
85060217;Ammarnäs skola;SORSELE KOMMUN
23923676;Blattnicksele skola;SORSELE KOMMUN
57355328;Byskolan F-3;LUNDS KOMMUN
85684011;Gunnesboskolan F-6;LUNDS KOMMUN
84629961;Killebäckskolan 4-6;LUNDS KOMMUN
91303125;Lerbäckskolan 4-6;LUNDS KOMMUN
90208066;Lerbäckskolan F-3;LUNDS KOMMUN
20249498;Nyvångskolan 4-6;LUNDS KOMMUN
60797946;Nyvångskolan F-3;LUNDS KOMMUN
63278471;Svaleboskolan 4-6;LUNDS KOMMUN
96174004;Svaleboskolan F-3;LUNDS KOMMUN
37970295;Uggleskolan F-3;LUNDS KOMMUN
48911259;S-Kästaskolan;HUDDINGE KOMMUN
55260552;Tibro kompetenscenter - gymnasiesärskola och elevhälsa;TIBRO KOMMUN
84789385;Tibro kompetenscenter - SFI;TIBRO KOMMUN
34671510;Gällö skola;BRÄCKE KOMMUN
33964301;Tibro kompetenscenter - särskild utbildning för vuxna;TIBRO KOMMUN
99636909;Torskolan H;TORSÅS KOMMUN
98761080;Dädesjö skola;VÄXJÖ KOMMUN
89149179;Modersmålsenheten;LIDKÖPINGS KOMMUN
14119849;Huaröds skola;KRISTIANSTADS KOMMUN
10129345;Luleå gymnasieskola, skolenhet B;LULEÅ KOMMUN
46319044;Mariedalskolan F-3;VÄNERSBORGS KOMMUN
82223639;Kälarne skola;BRÄCKE KOMMUN
77763178;Kvarnskolan;JÄRFÄLLA KOMMUN
99537996;Nybergskolan;JÄRFÄLLA KOMMUN
36519886;Hackebackeskolan;LESSEBO KOMMUN
82150561;Björkskolan;LESSEBO KOMMUN
66379524;Lustigkulla skola;LESSEBO KOMMUN
22198952;Komvux Malmö Kungsgatan 44 SFI Ro 6;MALMÖ KOMMUN
87368888;Komvux Malmö Kungsgatan 44 SFI Ro 8;MALMÖ KOMMUN
38820752;Komvux Malmö Rönnen SFI Ro 9;MALMÖ KOMMUN
50870779;Komvux Malmö SFI ro 11 Irisskolan;MALMÖ KOMMUN
68774631;Komvux Malmö Södervärn SFI Ro2;MALMÖ KOMMUN
23605557;Komvux Malmö Södervärn SFI Ro5;MALMÖ KOMMUN
10963105;Komvux Malmö  ro 4 Irisskolan grundläggande;MALMÖ KOMMUN
64654180;Komvux Malmö Södervärn, särskild utbildning för vuxna;MALMÖ KOMMUN
85888243;Braås skola F-3;VÄXJÖ KOMMUN
97596286;Milnergymnasiet BF, HV, VO;KRISTIANSTADS KOMMUN
13520728;Söderportgymnasiet IM;KRISTIANSTADS KOMMUN
35541921;Enskede Gårds gymnasium 35541921;STOCKHOLMS KOMMUN
47983862;Stockholms byggtekniska gymnasium 47983862, sär;STOCKHOLMS KOMMUN
36288955;Kungsh gy/Sthlms Musikgy 36288955;STOCKHOLMS KOMMUN
88839172;Kungsh gy/Sthlms Musikgy 88839172;STOCKHOLMS KOMMUN
69053034;Kungsholmens västra gymnasium;STOCKHOLMS KOMMUN
48412612;Kungsholmens Västra Gymnasium 48412612;STOCKHOLMS KOMMUN
30312720;Thorildsplans gymnasium 30312720;STOCKHOLMS KOMMUN
57143976;Thorildsplans gymnasium 57143976;STOCKHOLMS KOMMUN
70432835;Hubbarpsskolan;TRANÅS KOMMUN
94938162;Norrskolan;TRANÅS KOMMUN
87382179;Väringaskolan;VÄRINGASKOLANS FÖRÄLDRAFÖRENING
85152591;Blackebergs gymnasium 85152591;STOCKHOLMS KOMMUN
52791537;Blackebergs gymnasium 52791537;STOCKHOLMS KOMMUN
85819857;Blackebergs gymnasium 85819857;STOCKHOLMS KOMMUN
54117171;Bromma gymnasium 54117171;STOCKHOLMS KOMMUN
40600798;Bromma gymnasium 40600798;STOCKHOLMS KOMMUN
52942981;Bromma gymnasium 52942981;STOCKHOLMS KOMMUN
59581397;ESS-gymnasiet 59581397;STOCKHOLMS KOMMUN
75600007;Midsommarkransens gy 75600007;STOCKHOLMS KOMMUN
88955893;Norra Real 88955893;STOCKHOLMS KOMMUN
24397215;Sthlm hotell & restaurangsk 24397215;STOCKHOLMS KOMMUN
56670842;Södra Latins gymnasium 56670842;STOCKHOLMS KOMMUN
42775003;Södra Latins gymnasium 42775003;STOCKHOLMS KOMMUN
87274273;Sthlm Transport- och fordonstekniska gymnasiet 87274273;STOCKHOLMS KOMMUN
89477947;Garphyttans skola;ÖREBRO KOMMUN
68166713;Nikolaiskolan;ÖREBRO KOMMUN
61320743;Stora Mellösa skola;ÖREBRO KOMMUN
64644807;Vivallaskolan;ÖREBRO KOMMUN
32042066;Tannbergsskolan 2;LYCKSELE KOMMUN
54461375;Tannbergsskolan 6;LYCKSELE KOMMUN
52944410;Tannbergsskolan 3, Lärvux;LYCKSELE KOMMUN
98154581;Dammhagskolan ;LANDSKRONA KOMMUN
75656508;Vasastans Montessoriskola;VASASTANS MONTESSORIFÖRSKOLA
33992512;Midsommarkransens gymnasium, gysär;STOCKHOLMS KOMMUN
56662185;Balderskolan;Utvecklingspedagogik Sverige Aktiebolag
43623146;Häggviks Gymnasium;Utvecklingspedagogik Sverige Aktiebolag
57777751;Lunagymnasiet;Utvecklingspedagogik Sverige Aktiebolag
37706381;Modersmålsenheten;YSTAD KOMMUN
57098489;Midsommarkransens gymnasium;STOCKHOLMS KOMMUN
29423248;Globala gymnasiet 29423248;STOCKHOLMS KOMMUN
95618280;Kungsholmens Västra Gymnasium 95618280;STOCKHOLMS KOMMUN
22116645;Östra Reals gymnasium 22116645;STOCKHOLMS KOMMUN
18509613;Gislaveds gymnasium/SFI;GISLAVEDS KOMMUN
81275816;Ängelholms gymnasieskola Ro 1 gysär;ÄNGELHOLMS KOMMUN
99710631;Ängelholms gymnasieskola Ro 7;ÄNGELHOLMS KOMMUN
38360947;Österro skola;SUNDSVALLS KOMMUN
13243642;Tunabergsskolan särskola;UPPSALA KOMMUN
93413393;Öregrunds skola;ÖSTHAMMARS KOMMUN
54164490;Angeredsgymnasiet 5;GÖTEBORGS KOMMUN
24277564;Gustavsbergs gymnasium ,G2,;VÄRMDÖ KOMMUN
88153340;Bräckegymnasiet 1;GÖTEBORGS KOMMUN
40904373;Närlundaskolan;EKERÖ KOMMUN
25620892;Källdalsskolan 4 - 6;UDDEVALLA KOMMUN
48373752;Fridhemsskolan;ARVIDSJAURS KOMMUN
69985412;Dahlander kunskapscentrum;SÄTERS KOMMUN
47208460;Kristineskolan Säter;SÄTERS KOMMUN
85796724;Källskolan 6-9;FÖRENINGEN FÖR KRISTEN SKOLA I UPPLANDS-BRO
97061447;Folkungaskolan 4;LINKÖPINGS KOMMUN
58185455;Artediskolan åk 7-9;NORDMALINGS KOMMUN
54110164;Nordmalings gymnasial vuxenutbildning;NORDMALINGS KOMMUN
70675077;Grevhagsskolan;EKSJÖ KOMMUN
14664038;Höredaskolan;EKSJÖ KOMMUN
60727136;Uddevalla Gymnasieskola, Östrabo Y GLU;UDDEVALLA KOMMUN
13943026;Lernia SFI;UPPSALA KOMMUN
74508352;Lernia vux grund och gy;UPPSALA KOMMUN
36850222;Kärnhuset Dibber;Dibber Helsingborg AB
42215279;S:t Pers skola;SIGTUNA KOMMUN
55724712;Greby-skolan;NORRKÖPINGS KOMMUN
38306850;Kimstadskolan;NORRKÖPINGS KOMMUN
94141144;Rydskolan 861;SKÖVDE KOMMUN
82838118;Alla Nationers Fria Skola;IDEELLA FÖRENINGEN FÖR ALLA NATIONERS FRIA SKOLA
22818109;Vasaskolan;LUDVIKA KOMMUN
64078929;Humlegårdsskolan F-3;NYNÄSHAMNS KOMMUN
80189510;Gullviksskolan;MALMÖ KOMMUN
99742257;Tolitaskolan;KILS KOMMUN
22252335;Fageråsskolan;KILS KOMMUN
63916639;Nordingråskolan;KRAMFORS KOMMUN
40575001;Kavelbro enhet 877;SKÖVDE KOMMUN
33857264;Nils Månssons Friskola;Nils Månssons Friskola AB
12853184;Finnbacksskolan 1;LYCKSELE KOMMUN
23756252;Sjökarbyskolan;ÖSTERÅKERS KOMMUN
82624830;Solskiftesskolan;ÖSTERÅKERS KOMMUN
94113162;Österskärsskolan;ÖSTERÅKERS KOMMUN
76249351;Grämestaskolan;KRAMFORS KOMMUN
75515918;Högakustenskolan;KRAMFORS KOMMUN
80372390;Skarpåkersskolan;KRAMFORS KOMMUN
13336657;Ullångersskolan;KRAMFORS KOMMUN
20211452;Barnarpsskolan;JÖNKÖPINGS KOMMUN
94494341;Korsträskskolan;ÄLVSBYNS KOMMUN
94659471;Kvarnbergsskolan;KARLSTADS KOMMUN
30911490;Löttingelundsskolan;TÄBY KOMMUN
74279020;Komvux Örebro / SFI 2;ÖREBRO KOMMUN
56082200;Komvux Örebro/SFI 3;ÖREBRO KOMMUN
19593407;Dibber International School Helsingborg;Dibber Rydebäck AB
86750566;Munkebergsskolan;LULEÅ KOMMUN
80659104;Vålbergsskolan 7-9;KARLSTADS KOMMUN
95324620;Hörby Lärcenter, Gymnasieutb.;HÖRBY KOMMUN
18473876;Hörby Lärcenter, SFI;HÖRBY KOMMUN
45719517;Hörby Lärcenter, särvux;HÖRBY KOMMUN
20159722;Centrum Vuxenutveckling SFI;SIGTUNA KOMMUN
93367005;Thorildsplans gymnasium 93367005;STOCKHOLMS KOMMUN
71519534;Stockholms transport- och fordonstekniska gymnasium, gysär;STOCKHOLMS KOMMUN
36290964;Sundsvalls Gymn. Västermalm 3;SUNDSVALLS KOMMUN
34409875;Lingua Montessoriskola;Montessori Förskolor och Skolor i Sverige AB
23498302;Stockholms Montessoriskola Anne Frank;Montessori Förskolor och Skolor i Sverige AB
55662841;Gårdbyskolan;PAJALA KOMMUN
36111143;Sattajärvi skola;PAJALA KOMMUN
37347252;Tärendö Centralskola;PAJALA KOMMUN
69174303;Valloxskolan;KNIVSTA KOMMUN
58994715;Tångvallaskolan;VELLINGE KOMMUN
37796564;Akalla grundskola F-9;STOCKHOLMS KOMMUN
43088454;Björkhagens skola;STOCKHOLMS KOMMUN
56501561;Essingeskolan;STOCKHOLMS KOMMUN
51341279;Grimstaskolan;STOCKHOLMS KOMMUN
36281817;Höglandsskolan;STOCKHOLMS KOMMUN
49862579;Fagersjöskolan;STOCKHOLMS KOMMUN
59249600;Eriksdalsskolan;STOCKHOLMS KOMMUN
74631147;Enskedefältets skola;STOCKHOLMS KOMMUN
72248694;Enskede skola;STOCKHOLMS KOMMUN
87521048;Engelbrektsskolan;STOCKHOLMS KOMMUN
