Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
47215049;Friggesundsskolan;HUDIKSVALLS KOMMUN
69614208;Enångers skola;HUDIKSVALLS KOMMUN
80775683;Njutångers skola;HUDIKSVALLS KOMMUN
70416569;Iris Hadar;LINKÖPINGS KOMMUN
12793324;Marks Gymnasieskola, enhet B1;MARKS KOMMUN
51629043;Marks Gymnasieskola, enhet B2;MARKS KOMMUN
70089804;Loviselundsskolan;STOCKHOLMS KOMMUN
86337537;Maltesholmsskolan;STOCKHOLMS KOMMUN
77314942;Norra Ängby skola;STOCKHOLMS KOMMUN
52479822;Nockebyhovsskolan;STOCKHOLMS KOMMUN
66851849;Olovslundsskolan;STOCKHOLMS KOMMUN
25521617;Backens skola;UMEÅ KOMMUN
15968847;Olaus Petriskolan;STOCKHOLMS KOMMUN
38044067;Grisbacka skola F-6;UMEÅ KOMMUN
97966458;Ormkärrsskolan;STOCKHOLMS KOMMUN
37063267;Flurkmarks skola;UMEÅ KOMMUN
40679414;Carlslundsskolan Anpassad grundskola 7-9;UMEÅ KOMMUN
82943624;Kubikskolan Dibber;Dibber Kubikskolan AB
76359296;Christinagymnasiet;Lidingö Gymnasium AB
73206377;Forsnässkolan 4-9;MUNKFORS KOMMUN
67623106;Munkerudsskolan;MUNKFORS KOMMUN
71457328;Brogymnasiet 1;KRISTINEHAMNS KOMMUN
47820251;Brogymnasiet 2;KRISTINEHAMNS KOMMUN
72832832;Brogymnasiet 3;KRISTINEHAMNS KOMMUN
84103650;Kårsta skola;VALLENTUNA KOMMUN
97510495;JENSEN Gymnasium Gamla stan;JENSEN EDUCATION COLLEGE AB
10299294;Olympiaskolan;VALLENTUNA KOMMUN
71724902;Mogaskolan 7-9;SVENLJUNGA KOMMUN
61320691;Heleneholms gymnasium;MALMÖ KOMMUN
85788659;Vallentuna gymnasium;VALLENTUNA KOMMUN
82265307;Ljunghaga resursskola;NYBRO KOMMUN
38198417;Madesjöskolan Ma02;NYBRO KOMMUN
86828079;Furubergsskolan F-klass och fritidshem;VARBERGS KOMMUN
60702782;Furubergsskolan F-5 och fritidshem;VARBERGS KOMMUN
12130801;Åkrahällskolan Akra02;NYBRO KOMMUN
49068301;Kunskapsgymnasiet Liljeholmen;Kunskapsskolan i Sverige Aktiebolag
12052268;Kunskapsgymnasiet Göteborg;Kunskapsskolan i Sverige Aktiebolag
91773491;Kunskapsgymnasiet Malmö;Kunskapsskolan i Sverige Aktiebolag
75575321;Kunskapsgymnasiet Norrköping;Kunskapsskolan i Sverige Aktiebolag
93488613;Kunskapsgymnasiet Uppsala;Kunskapsskolan i Sverige Aktiebolag
25379974;Kunskapsgymnasiet Västerås;Kunskapsskolan i Sverige Aktiebolag
70510891;Kunskapsskolan Borlänge;Kunskapsskolan i Sverige Aktiebolag
10257640;Kunskapsskolan Borås;Kunskapsskolan i Sverige Aktiebolag
